node_idx,active,depth,depth_idx,freq,indicator,likelihood,likelihood_pen,node,num_child_nodes,parent_idx,p_chapeu,produtoria_filhos
0,1,1,0,2100,0,0.0,0.0,'1,1.0,,0.0,0.0
1,0,1,1,2900,1,-1707.7847153060288,-1707.7847153060288,'0,2.0,,-1676.756387743856,-1676.756387743856
2,0,2,0,2100,1,-1297.7010108592617,-1297.7010108592617,'10,1.0,1,-1295.2434885390337,-1295.2434885390337
3,0,2,1,800,1,-388.76750395653676,-388.76750395653676,'00,2.0,1,-381.51289920482225,-381.51289920482225
4,0,2,2,2099,0,0.0,0.0,'01,2.0,0,0.0,0.0
5,0,3,0,648,1,-291.7811872927175,-291.7811872927175,'100,1.0,3,-290.9360071945846,-290.9360071945846
6,0,3,1,647,0,0.0,0.0,'001,2.0,4,0.0,0.0
7,0,3,2,2099,1,-1296.5246750627816,-1296.5246750627816,'010,2.0,2,-1295.2434885390337,-1295.2434885390337
8,0,3,3,1452,0,0.0,0.0,'101,1.0,4,0.0,0.0
9,0,3,4,152,1,-91.4553227468148,-91.4553227468148,'000,2.0,3,-90.57689201023764,-90.57689201023764
10,0,4,0,539,0,0.0,0.0,'1001,1.0,6,0.0,0.0
11,0,4,1,647,1,-404.79677169936986,-404.79677169936986,'0010,2.0,7,-403.8607365023706,-403.8607365023706
12,0,4,2,1452,0,0.0,0.0,'0101,2.0,8,0.0,0.0
13,0,4,3,1452,1,-891.5026711968889,-891.5026711968889,'1010,1.0,7,-891.3827520366631,-891.3827520366631
14,0,4,4,647,1,-291.5984015471051,-291.5984015471051,'0100,2.0,5,-290.9360071945846,-290.9360071945846
15,0,4,5,108,1,-66.4738144857986,-66.4738144857986,'1000,1.0,9,-66.47309981470157,-66.47309981470157
16,0,4,6,108,0,0.0,0.0,'0001,2.0,6,0.0,0.0
17,0,4,7,44,1,-24.742746363227567,-24.742746363227567,'0000,2.0,9,-24.10379219553607,-24.10379219553607
18,1,5,0,539,1,-339.7551394635609,-339.7551394635609,'10010,1.0,11,-339.36213109228424,-339.36213109228424
19,0,5,1,441,0,0.0,0.0,'00101,2.0,12,0.0,0.0
20,0,5,2,1452,1,-891.5026711968889,-891.5026711968889,'01010,2.0,13,-891.3827520366631,-891.3827520366631
21,1,5,3,441,0,-201.09338153193576,-201.09338153193576,'10100,1.0,14,-201.09338153193576,-201.09338153193576
22,0,5,4,538,0,0.0,0.0,'01001,2.0,10,0.0,0.0
23,0,5,5,1011,0,0.0,0.0,'10101,1.0,12,0.0,0.0
24,0,5,6,108,1,-66.4738144857986,-66.4738144857986,'01000,2.0,15,-66.47309981470157,-66.47309981470157
25,0,5,7,75,0,0.0,0.0,'10001,1.0,16,0.0,0.0
26,0,5,8,108,1,-64.74355170764254,-64.74355170764254,'00010,2.0,11,-64.49860541008638,-64.49860541008638
27,0,5,9,206,1,-90.4632461830659,-90.4632461830659,'00100,2.0,14,-89.8426256626488,-89.8426256626488
28,1,5,10,33,0,-19.336436404017178,-19.336436404017178,'10000,1.0,17,-19.336436404017178,-19.336436404017178
29,0,5,11,33,0,0.0,0.0,'00001,2.0,16,0.0,0.0
30,0,5,12,11,1,-5.21553244363621,-5.21553244363621,'00000,2.0,17,-4.767355791518891,-4.767355791518891
31,0,6,0,364,0,0.0,0.0,'100101,,19,0.0,0.0
32,1,6,1,441,0,-267.4137158250916,-267.4137158250916,'001010,,20,-267.4137158250916,-267.4137158250916
33,0,6,2,441,0,-201.09338153193576,-201.09338153193576,'010100,,21,-201.09338153193576,-201.09338153193576
34,0,6,3,366,0,0.0,0.0,'101001,,22,0.0,0.0
35,0,6,4,538,0,-339.36213109228424,-339.36213109228424,'010010,,18,-339.36213109228424,-339.36213109228424
36,0,6,5,1011,0,0.0,0.0,'010101,,23,0.0,0.0
37,1,6,6,1011,0,-623.9690362115715,-623.9690362115715,'101010,,20,-623.9690362115715,-623.9690362115715
38,1,6,7,75,0,-46.23056818261862,-46.23056818261862,'101000,,24,-46.23056818261862,-46.23056818261862
39,0,6,8,75,0,0.0,0.0,'010001,,25,0.0,0.0
40,1,6,9,75,0,-43.493637856357566,-43.493637856357566,'100010,,26,-43.493637856357566,-43.493637856357566
41,0,6,10,77,0,0.0,0.0,'000101,,19,0.0,0.0
42,1,6,11,175,0,-79.9865854745193,-79.9865854745193,'100100,,27,-79.9865854745193,-79.9865854745193
43,0,6,12,172,0,0.0,0.0,'001001,,22,0.0,0.0
44,0,6,13,33,0,-19.336436404017178,-19.336436404017178,'010000,,28,-19.336436404017178,-19.336436404017178
45,0,6,14,24,0,0.0,0.0,'100001,,29,0.0,0.0
46,1,6,15,33,0,-21.004967553728825,-21.004967553728825,'000010,,26,-21.004967553728825,-21.004967553728825
47,1,6,16,31,0,-9.856040188129496,-9.856040188129496,'000100,,27,-9.856040188129496,-9.856040188129496
48,1,6,17,33,0,-20.242531632082947,-20.242531632082947,'001000,,24,-20.242531632082947,-20.242531632082947
49,1,6,18,9,0,-4.767355791518891,-4.767355791518891,'100000,,30,-4.767355791518891,-4.767355791518891
50,0,6,19,9,0,0.0,0.0,'000001,,29,0.0,0.0
51,1,6,20,2,0,0.0,0.0,'000000,,30,0.0,0.0
