model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,0,seqROCTM,0,000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,14,-1652.4448,0
model1,0,seqROCTM,1,000000 100000 10000 1000 000100 100100 10100 000010 100010 10010 001010 101010 1,13,-1652.46,0
model1,0,seqROCTM,2,000000 100000 10000 1000 000100 100100 10100 000010 100010 10010 1010 1,12,-1652.4941,0
model1,0,seqROCTM,3,000000 100000 10000 1000 100 000010 100010 10010 1010 1,10,-1653.1932,0
model1,0,seqROCTM,4,000000 100000 10000 1000 100 10 1,7,-1656.2041,0
model1,0,seqROCTM,5,000 100 10 1,4,-1658.0061,1
model1,0,seqROCTM,6,00 10 1,3,-1658.9535,0
model1,0,seqROCTM,7,0 1,2,-1675.7466,0
model1,0,seqROCTM,8,,0,-3405.8984,0
model1,1,seqROCTM,0,000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,14,-1654.6401,0
model1,1,seqROCTM,1,000 000100 100100 10100 000010 100010 10010 001010 101010 1,10,-1655.3782,0
model1,1,seqROCTM,2,000 000100 100100 10100 000010 100010 10010 1010 1,9,-1655.5269,0
model1,1,seqROCTM,3,000 000100 100100 10100 10 1,6,-1657.3938,0
model1,1,seqROCTM,4,000 00100 10100 10 1,5,-1658.1048,0
model1,1,seqROCTM,5,00 10 1,3,-1661.3537,1
model1,1,seqROCTM,6,0 1,2,-1686.3139,0
model1,1,seqROCTM,7,,0,-3404.3317,0
model1,2,seqROCTM,0,000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,14,-1676.0707,0
model1,2,seqROCTM,1,000000 100000 10000 001000 101000 00100 10100 000010 100010 10010 001010 101010 1,13,-1676.0737,0
model1,2,seqROCTM,2,000000 100000 10000 001000 101000 100 000010 100010 10010 001010 101010 1,12,-1677.6694,0
model1,2,seqROCTM,3,000000 100000 10000 1000 100 000010 100010 10010 001010 101010 1,11,-1679.2549,0
model1,2,seqROCTM,4,00000 10000 1000 100 000010 100010 10010 001010 101010 1,10,-1679.3962,0
model1,2,seqROCTM,5,00000 10000 1000 100 00010 10010 001010 101010 1,9,-1679.7826,0
model1,2,seqROCTM,6,0000 1000 100 00010 10010 001010 101010 1,8,-1680.0769,0
model1,2,seqROCTM,7,0000 1000 100 0010 001010 101010 1,7,-1680.528,0
model1,2,seqROCTM,8,000 100 0010 001010 101010 1,6,-1682.1013,0
model1,2,seqROCTM,9,00 0010 001010 101010 1,5,-1684.0351,0
model1,2,seqROCTM,10,00 10 1,3,-1688.6272,1
model1,2,seqROCTM,11,0 1,2,-1696.4597,0
model1,2,seqROCTM,12,,0,-3403.0636,0
model1,3,seqROCTM,0,000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,14,-1689.2756,0
model1,3,seqROCTM,1,000000 100000 10000 001000 101000 100 000010 100010 10010 001010 101010 1,12,-1689.8846,0
model1,3,seqROCTM,2,000 100 000010 100010 10010 001010 101010 1,8,-1692.1939,0
model1,3,seqROCTM,3,000 100 0010 001010 101010 1,6,-1694.3451,0
model1,3,seqROCTM,4,000 100 10 1,4,-1696.2428,0
model1,3,seqROCTM,5,00 10 1,3,-1699.419,1
model1,3,seqROCTM,6,0 1,2,-1719.3083,0
model1,3,seqROCTM,7,,0,-3399.8359,0
model1,4,seqROCTM,0,000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,14,-1663.4131,0
model1,4,seqROCTM,1,000000 100000 10000 1000 000100 100100 10100 000010 100010 10010 001010 101010 1,13,-1663.4375,0
model1,4,seqROCTM,2,000 000100 100100 10100 000010 100010 10010 001010 101010 1,10,-1667.0265,0
model1,4,seqROCTM,3,00 000010 100010 10010 001010 101010 1,7,-1668.9331,0
model1,4,seqROCTM,4,00 0010 001010 101010 1,5,-1671.0178,0
model1,4,seqROCTM,5,00 10 1,3,-1676.5696,1
model1,4,seqROCTM,6,0 1,2,-1686.3139,0
model1,4,seqROCTM,7,,0,-3404.3317,0
model1,5,seqROCTM,0,00000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,13,-1698.1851,0
model1,5,seqROCTM,1,00000 10000 001000 101000 000100 100100 10100 000010 100010 10010 1010 1,12,-1698.2276,0
model1,5,seqROCTM,2,00000 10000 001000 101000 100 000010 100010 10010 1010 1,10,-1698.7165,0
model1,5,seqROCTM,3,00000 10000 001000 101000 100 10 1,7,-1701.4863,0
model1,5,seqROCTM,4,00000 10000 1000 100 10 1,6,-1702.5795,0
model1,5,seqROCTM,5,00 10 1,3,-1707.9127,1
model1,5,seqROCTM,6,0 1,2,-1725.9679,0
model1,5,seqROCTM,7,,0,-3398.8515,0
model1,6,seqROCTM,0,000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1,14,-1665.6482,0
model1,6,seqROCTM,1,000000 100000 10000 001000 101000 100 000010 100010 10010 001010 101010 1,12,-1665.6545,0
model1,6,seqROCTM,2,000000 100000 10000 001000 101000 100 000010 100010 10010 1010 1,11,-1665.7146,0
