sample_size,model_name,estimation_method,resample_n,sample_idx,tree_idx,tree,num_contexts,resample_idx,likelihood
5000,model1,smc,n1,0,0,0 1,2,0,-836.2706798566469
5000,model1,smc,n1,0,0,0 1,2,1,-840.4602942657295
5000,model1,smc,n1,0,0,0 1,2,2,-827.8985477376341
5000,model1,smc,n1,0,1,00 1 10,3,0,-443.63369518330137
5000,model1,smc,n1,0,1,00 1 10,3,1,-441.32474304265764
5000,model1,smc,n1,0,1,00 1 10,3,2,-435.99946380970266
5000,model1,smc,n1,0,2,000 1 10 100,4,0,-370.220238170064
5000,model1,smc,n1,0,2,000 1 10 100,4,1,-379.7174639297791
5000,model1,smc,n1,0,2,000 1 10 100,4,2,-366.6982357837449
5000,model1,smc,n2,0,0,0 1,2,0,-2534.44452608594
5000,model1,smc,n2,0,0,0 1,2,1,-2490.009104154136
5000,model1,smc,n2,0,0,0 1,2,2,-2520.2354335713594
5000,model1,smc,n2,0,1,00 1 10,3,0,-1348.9451865571848
5000,model1,smc,n2,0,1,00 1 10,3,1,-1317.7201935522137
5000,model1,smc,n2,0,1,00 1 10,3,2,-1338.5113883636157
5000,model1,smc,n2,0,2,000 1 10 100,4,0,-1121.081276155809
5000,model1,smc,n2,0,2,000 1 10 100,4,1,-1104.1084652774998
5000,model1,smc,n2,0,2,000 1 10 100,4,2,-1113.3825229356876
5000,model1,smc,n1,1,0,0 1,2,0,-833.2107429780169
5000,model1,smc,n1,1,0,0 1,2,1,-821.5185815051452
5000,model1,smc,n1,1,0,0 1,2,2,-831.7174524401229
5000,model1,smc,n1,1,1,00 1 10,3,0,-442.7324299511381
5000,model1,smc,n1,1,1,00 1 10,3,1,-439.46032487690474
5000,model1,smc,n1,1,1,00 1 10,3,2,-442.9210757448428
5000,model1,smc,n1,1,2,000 1 10 100,4,0,-363.73412922592485
5000,model1,smc,n1,1,2,000 1 10 100,4,1,-359.9672614909339
5000,model1,smc,n1,1,2,000 1 10 100,4,2,-367.8096041093221
5000,model1,smc,n2,1,0,0 1,2,0,-2554.203334736623
5000,model1,smc,n2,1,0,0 1,2,1,-2549.315471657673
5000,model1,smc,n2,1,0,0 1,2,2,-2549.1996677312136
5000,model1,smc,n2,1,1,00 1 10,3,0,-1357.238807452919
5000,model1,smc,n2,1,1,00 1 10,3,1,-1367.7684644707615
5000,model1,smc,n2,1,1,00 1 10,3,2,-1370.7852518619627
5000,model1,smc,n2,1,2,000 1 10 100,4,0,-1127.8052329129619
5000,model1,smc,n2,1,2,000 1 10 100,4,1,-1128.6752962424232
5000,model1,smc,n2,1,2,000 1 10 100,4,2,-1120.2035551773777
5000,model1,smc,n1,2,0,0 1,2,0,-812.3035036275028
5000,model1,smc,n1,2,0,0 1,2,1,-802.8950116376882
5000,model1,smc,n1,2,0,0 1,2,2,-833.5856006874083
5000,model1,smc,n1,2,1,00 1 10,3,0,-440.57757121669636
5000,model1,smc,n1,2,1,00 1 10,3,1,-434.31736538446387
5000,model1,smc,n1,2,1,00 1 10,3,2,-442.66315709339244
5000,model1,smc,n1,2,2,000 1 10 100,4,0,-349.5524549103302
5000,model1,smc,n1,2,2,000 1 10 100,4,1,-364.1770575061483
5000,model1,smc,n1,2,2,000 1 10 100,4,2,-375.98298299181545
5000,model1,smc,n2,2,0,0 1,2,0,-2524.0451081597694
5000,model1,smc,n2,2,0,0 1,2,1,-2464.219126327039
5000,model1,smc,n2,2,0,0 1,2,2,-2453.326013201164
5000,model1,smc,n2,2,1,00 1 10,3,0,-1363.3456898285126
5000,model1,smc,n2,2,1,00 1 10,3,1,-1331.475224553426
5000,model1,smc,n2,2,1,00 1 10,3,2,-1314.5272206574427
5000,model1,smc,n2,2,2,000 1 10 100,4,0,-1110.1886861916773
5000,model1,smc,n2,2,2,000 1 10 100,4,1,-1094.4585507884722
5000,model1,smc,n2,2,2,000 1 10 100,4,2,-1080.1132200557902
5000,model1,smc,n1,3,0,0 1,2,0,-818.5175841302735
5000,model1,smc,n1,3,0,0 1,2,1,-858.88368712447
5000,model1,smc,n1,3,0,0 1,2,2,-847.3931479456419
5000,model1,smc,n1,3,1,00 1 10,3,0,-435.66629487726675
5000,model1,smc,n1,3,1,00 1 10,3,1,-467.29538876174576
5000,model1,smc,n1,3,1,00 1 10,3,2,-459.1196799641299
5000,model1,smc,n1,3,2,000 1 10 100,4,0,-367.4310432181932
5000,model1,smc,n1,3,2,000 1 10 100,4,1,-373.18332884814964
5000,model1,smc,n1,3,2,000 1 10 100,4,2,-367.6830345649645
5000,model1,smc,n2,3,0,0 1,2,0,-2528.4640310635186
5000,model1,smc,n2,3,0,0 1,2,1,-2543.927349239208
5000,model1,smc,n2,3,0,0 1,2,2,-2622.362322385946
5000,model1,smc,n2,3,1,00 1 10,3,0,-1360.3861215437364
5000,model1,smc,n2,3,1,00 1 10,3,1,-1367.592875922986
5000,model1,smc,n2,3,1,00 1 10,3,2,-1414.5757253277968
5000,model1,smc,n2,3,2,000 1 10 100,4,0,-1113.2317286801976
5000,model1,smc,n2,3,2,000 1 10 100,4,1,-1118.0583764839791
5000,model1,smc,n2,3,2,000 1 10 100,4,2,-1165.0896567622308
5000,model1,smc,n1,4,0,0 1,2,0,-852.5510228306366
5000,model1,smc,n1,4,0,0 1,2,1,-811.7104689495147
5000,model1,smc,n1,4,0,0 1,2,2,-802.3866350938071
5000,model1,smc,n1,4,1,00 1 10,3,0,-452.00929633567677
5000,model1,smc,n1,4,1,00 1 10,3,1,-432.56358255527834
5000,model1,smc,n1,4,1,00 1 10,3,2,-426.4692876116344
5000,model1,smc,n1,4,2,000 1 10 100,4,0,-375.4373402840812
5000,model1,smc,n1,4,2,000 1 10 100,4,1,-360.38939505376896
5000,model1,smc,n1,4,2,000 1 10 100,4,2,-359.9921556022681
5000,model1,smc,n2,4,0,0 1,2,0,-2516.494044522784
5000,model1,smc,n2,4,0,0 1,2,1,-2469.8793839363943
5000,model1,smc,n2,4,0,0 1,2,2,-2481.757156408169
5000,model1,smc,n2,4,1,00 1 10,3,0,-1343.184305088028
5000,model1,smc,n2,4,1,00 1 10,3,1,-1317.8258916300206
5000,model1,smc,n2,4,1,00 1 10,3,2,-1332.1310013153138
5000,model1,smc,n2,4,2,000 1 10 100,4,0,-1110.8460320469471
5000,model1,smc,n2,4,2,000 1 10 100,4,1,-1097.1774617104695
5000,model1,smc,n2,4,2,000 1 10 100,4,2,-1098.5480400214603
5000,model1,smc,n1,5,0,0 1,2,0,-855.2875218160492
5000,model1,smc,n1,5,0,0 1,2,1,-841.1363873110759
5000,model1,smc,n1,5,0,0 1,2,2,-852.4022547604042
5000,model1,smc,n1,5,1,00 1 10,3,0,-464.22929743314967
5000,model1,smc,n1,5,1,00 1 10,3,1,-456.4976498787811
5000,model1,smc,n1,5,1,00 1 10,3,2,-459.3614686452187
5000,model1,smc,n1,5,2,000 1 10 100,4,0,-375.16337488648924
5000,model1,smc,n1,5,2,000 1 10 100,4,1,-365.6777829270937
5000,model1,smc,n1,5,2,000 1 10 100,4,2,-376.8607377883136
5000,model1,smc,n2,5,0,0 1,2,0,-2548.260792836132
5000,model1,smc,n2,5,0,0 1,2,1,-2548.4975884294017
5000,model1,smc,n2,5,0,0 1,2,2,-2503.861877682544
5000,model1,smc,n2,5,1,00 1 10,3,0,-1374.5474341323375
5000,model1,smc,n2,5,1,00 1 10,3,1,-1371.2362254968712
5000,model1,smc,n2,5,1,00 1 10,3,2,-1355.0437348801404
5000,model1,smc,n2,5,2,000 1 10 100,4,0,-1126.5207134726704
5000,model1,smc,n2,5,2,000 1 10 100,4,1,-1135.4972613785144
5000,model1,smc,n2,5,2,000 1 10 100,4,2,-1104.8193029741308
5000,model1,smc,n1,6,0,0 1,2,0,-831.406674556742
5000,model1,smc,n1,6,0,0 1,2,1,-785.8123782373209
5000,model1,smc,n1,6,0,0 1,2,2,-817.8236078589362
5000,model1,smc,n1,6,1,00 1 10,3,0,-444.1666251330057
5000,model1,smc,n1,6,1,00 1 10,3,1,-418.02186238879284
5000,model1,smc,n1,6,1,00 1 10,3,2,-440.98326477968095
5000,model1,smc,n1,6,2,000 1 10 100,4,0,-371.82380840348526
5000,model1,smc,n1,6,2,000 1 10 100,4,1,-341.2097376996023
5000,model1,smc,n1,6,2,000 1 10 100,4,2,-354.37656592477657
5000,model1,smc,n2,6,0,0 1,2,0,-2483.9714719182834
5000,model1,smc,n2,6,0,0 1,2,1,-2480.464008054449
5000,model1,smc,n2,6,0,0 1,2,2,-2510.2021490771417
5000,model1,smc,n2,6,1,00 1 10,3,0,-1333.1569561144688
5000,model1,smc,n2,6,1,00 1 10,3,1,-1329.2376252131548
5000,model1,smc,n2,6,1,00 1 10,3,2,-1358.9482507915297
5000,model1,smc,n2,6,2,000 1 10 100,4,0,-1103.678731428833
5000,model1,smc,n2,6,2,000 1 10 100,4,1,-1091.1624282055438
5000,model1,smc,n2,6,2,000 1 10 100,4,2,-1097.4821055302045
5000,model1,smc,n1,7,0,0 1,2,0,-824.9862552742718
5000,model1,smc,n1,7,0,0 1,2,1,-848.8867231916971
5000,model1,smc,n1,7,0,0 1,2,2,-822.6468621110124
5000,model1,smc,n1,7,1,00 1 10,3,0,-441.65279760118176
5000,model1,smc,n1,7,1,00 1 10,3,1,-455.78129713988795
5000,model1,smc,n1,7,1,00 1 10,3,2,-441.5924887822895
5000,model1,smc,n2,7,0,0 1,2,0,-2489.217972405201
5000,model1,smc,n2,7,0,0 1,2,1,-2513.7096494009406
5000,model1,smc,n2,7,0,0 1,2,2,-2512.3168283058826
5000,model1,smc,n2,7,1,00 1 10,3,0,-1332.5967936499303
5000,model1,smc,n2,7,1,00 1 10,3,1,-1345.1668971786423
5000,model1,smc,n2,7,1,00 1 10,3,2,-1346.8563510751987
5000,model1,smc,n1,8,0,0 1,2,0,-875.5591516212276
5000,model1,smc,n1,8,0,0 1,2,1,-842.758935335496
5000,model1,smc,n1,8,0,0 1,2,2,-836.6592070222714
5000,model1,smc,n1,8,1,00 1 10,3,0,-472.3416268020869
5000,model1,smc,n1,8,1,00 1 10,3,1,-454.0996897736809
5000,model1,smc,n1,8,1,00 1 10,3,2,-455.17148089733854
5000,model1,smc,n2,8,0,0 1,2,0,-2581.081166194419
5000,model1,smc,n2,8,0,0 1,2,1,-2567.1052111108493
5000,model1,smc,n2,8,0,0 1,2,2,-2518.277104401648
5000,model1,smc,n2,8,1,00 1 10,3,0,-1392.817726855696
5000,model1,smc,n2,8,1,00 1 10,3,1,-1384.37313436654
5000,model1,smc,n2,8,1,00 1 10,3,2,-1368.7779063734758
5000,model1,smc,n1,9,0,0 1,2,0,-847.7500408749215
5000,model1,smc,n1,9,0,0 1,2,1,-879.1693977657051
5000,model1,smc,n1,9,0,0 1,2,2,-841.5303468807252
5000,model1,smc,n1,9,1,00 1 10,3,0,-455.425258757444
5000,model1,smc,n1,9,1,00 1 10,3,1,-463.7226734808836
5000,model1,smc,n1,9,1,00 1 10,3,2,-439.426329380173
5000,model1,smc,n1,9,2,000 1 10 100,4,0,-376.77790274109014
5000,model1,smc,n1,9,2,000 1 10 100,4,1,-387.0997030446282
5000,model1,smc,n1,9,2,000 1 10 100,4,2,-379.4316744987181
5000,model1,smc,n2,9,0,0 1,2,0,-2512.853547145202
5000,model1,smc,n2,9,0,0 1,2,1,-2547.824065946303
5000,model1,smc,n2,9,0,0 1,2,2,-2506.7473892829375
5000,model1,smc,n2,9,1,00 1 10,3,0,-1338.9033834592901
5000,model1,smc,n2,9,1,00 1 10,3,1,-1361.046130889554
5000,model1,smc,n2,9,1,00 1 10,3,2,-1323.476064665056
5000,model1,smc,n2,9,2,000 1 10 100,4,0,-1119.2279091529101
5000,model1,smc,n2,9,2,000 1 10 100,4,1,-1126.7861344404237
5000,model1,smc,n2,9,2,000 1 10 100,4,2,-1114.5674187748236
5000,model1,smc,n1,10,0,0 1,2,0,-796.6518210507668
5000,model1,smc,n1,10,0,0 1,2,1,-799.3533441179438
5000,model1,smc,n1,10,0,0 1,2,2,-818.5349649801972
5000,model1,smc,n1,10,1,00 1 10,3,0,-424.8819617427063
5000,model1,smc,n1,10,1,00 1 10,3,1,-429.78529846388795
5000,model1,smc,n1,10,1,00 1 10,3,2,-441.6213871420837
5000,model1,smc,n2,10,0,0 1,2,0,-2397.9783942731347
5000,model1,smc,n2,10,0,0 1,2,1,-2452.0116364768946
5000,model1,smc,n2,10,0,0 1,2,2,-2533.4974168031067
5000,model1,smc,n2,10,1,00 1 10,3,0,-1280.713742761607
5000,model1,smc,n2,10,1,00 1 10,3,1,-1311.5670010413824
5000,model1,smc,n2,10,1,00 1 10,3,2,-1372.9640951909803
5000,model1,smc,n1,11,0,0 1,2,0,-788.8429962463731
5000,model1,smc,n1,11,0,0 1,2,1,-826.4012730553377
5000,model1,smc,n1,11,0,0 1,2,2,-854.1738668738243
5000,model1,smc,n1,11,1,00 1 10,3,0,-413.3560934657591
5000,model1,smc,n1,11,1,00 1 10,3,1,-437.36177881428785
5000,model1,smc,n1,11,1,00 1 10,3,2,-463.0655295609073
5000,model1,smc,n1,11,2,000 1 10 100,4,0,-352.28453798097866
5000,model1,smc,n1,11,2,000 1 10 100,4,1,-375.0529132251623
5000,model1,smc,n1,11,2,000 1 10 100,4,2,-369.52994440240917
5000,model1,smc,n2,11,0,0 1,2,0,-2486.973780243842
5000,model1,smc,n2,11,0,0 1,2,1,-2500.1092875128465
5000,model1,smc,n2,11,0,0 1,2,2,-2511.2187149221736
5000,model1,smc,n2,11,1,00 1 10,3,0,-1312.8628486242226
5000,model1,smc,n2,11,1,00 1 10,3,1,-1322.5546246586377
5000,model1,smc,n2,11,1,00 1 10,3,2,-1354.0648722748501
5000,model1,smc,n2,11,2,000 1 10 100,4,0,-1103.190138694957
5000,model1,smc,n2,11,2,000 1 10 100,4,1,-1130.0999055734255
5000,model1,smc,n2,11,2,000 1 10 100,4,2,-1104.5944745851923
5000,model1,smc,n1,12,0,0 1,2,0,-829.5568508868406
5000,model1,smc,n1,12,0,0 1,2,1,-839.8175913377597
5000,model1,smc,n1,12,0,0 1,2,2,-863.6204728882772
5000,model1,smc,n1,12,1,00 1 10,3,0,-447.9396693442093
5000,model1,smc,n1,12,1,00 1 10,3,1,-450.6973349135662
5000,model1,smc,n1,12,1,00 1 10,3,2,-471.05293135418026
5000,model1,smc,n1,12,2,000 1 10 100,4,0,-359.87959554587684
5000,model1,smc,n1,12,2,000 1 10 100,4,1,-371.1140942096792
5000,model1,smc,n1,12,2,000 1 10 100,4,2,-374.8593588313016
5000,model1,smc,n2,12,0,0 1,2,0,-2510.165328852985
5000,model1,smc,n2,12,0,0 1,2,1,-2505.524292741742
5000,model1,smc,n2,12,0,0 1,2,2,-2579.428131836272
5000,model1,smc,n2,12,1,00 1 10,3,0,-1346.0156539116151
5000,model1,smc,n2,12,1,00 1 10,3,1,-1348.1335326127755
5000,model1,smc,n2,12,1,00 1 10,3,2,-1402.54145557605
5000,model1,smc,n2,12,2,000 1 10 100,4,0,-1110.3634638555875
5000,model1,smc,n2,12,2,000 1 10 100,4,1,-1100.9751177980245
5000,model1,smc,n2,12,2,000 1 10 100,4,2,-1127.5334409122374
5000,model1,smc,n1,13,0,0 1,2,0,-835.185658351036
5000,model1,smc,n1,13,0,0 1,2,1,-861.1144128299874
5000,model1,smc,n1,13,0,0 1,2,2,-828.2356372059386
5000,model1,smc,n1,13,1,00 1 10,3,0,-444.5827631999271
5000,model1,smc,n1,13,1,00 1 10,3,1,-467.307465111187
5000,model1,smc,n1,13,1,00 1 10,3,2,-449.3382163973262
5000,model1,smc,n1,13,2,000 1 10 100,4,0,-367.3694072067213
5000,model1,smc,n1,13,2,000 1 10 100,4,1,-376.1093333698229
5000,model1,smc,n1,13,2,000 1 10 100,4,2,-359.7422050519558
5000,model1,smc,n2,13,0,0 1,2,0,-2544.819787703318
5000,model1,smc,n2,13,0,0 1,2,1,-2549.597116326403
5000,model1,smc,n2,13,0,0 1,2,2,-2546.4404817318605
5000,model1,smc,n2,13,1,00 1 10,3,0,-1367.2201615222334
5000,model1,smc,n2,13,1,00 1 10,3,1,-1378.2487600507761
5000,model1,smc,n2,13,1,00 1 10,3,2,-1383.5418391767432
5000,model1,smc,n2,13,2,000 1 10 100,4,0,-1104.9152359151565
5000,model1,smc,n2,13,2,000 1 10 100,4,1,-1122.25325549111
5000,model1,smc,n2,13,2,000 1 10 100,4,2,-1117.768526303389
5000,model1,smc,n1,14,0,0 1,2,0,-770.3188188760798
5000,model1,smc,n1,14,0,0 1,2,1,-826.1016209304332
5000,model1,smc,n1,14,0,0 1,2,2,-845.7922164939012
5000,model1,smc,n1,14,1,00 1 10,3,0,-408.9177829756019
5000,model1,smc,n1,14,1,00 1 10,3,1,-441.8134779328089
5000,model1,smc,n1,14,1,00 1 10,3,2,-454.2678321220527
5000,model1,smc,n1,14,2,000 1 10 100,4,0,-353.9572215281761
5000,model1,smc,n1,14,2,000 1 10 100,4,1,-366.4201060306608
5000,model1,smc,n1,14,2,000 1 10 100,4,2,-375.7266521412853
