model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20318.77298521064,0,17
model1,0,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-20318.77298521064,0,17
model1,0,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-20318.77298521064,0,17
model1,0,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20318.77298521064,0,17
model1,0,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20318.77298521064,0,17
model1,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-20318.772985210635,0,17
model1,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-20318.772985210635,0,17
model1,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6710.434639949401,0,17
model1,0,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6710.43688455138,0,17
model1,0,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-6710.765144441017,0,17
model1,0,prune,10,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,-6711.101730471205,0,17
model1,0,prune,11,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,-6711.135160355955,0,17
model1,0,prune,12,000000 000100 1 10 1000 10000 100000 100100 10100,9,-6711.1391414167065,0,17
model1,0,prune,13,000000 00100 1 10 1000 10000 100000 10100,8,-6711.736272386213,0,17
model1,0,prune,14,000000 1 10 100 1000 10000 100000,7,-6711.749469201022,0,17
model1,0,prune,15,00000 1 10 100 1000 10000,6,-6713.002327343604,0,17
model1,0,prune,16,0000 1 10 100 1000,5,-6713.045709183116,0,17
model1,0,prune,17,000 1 10 100,4,-6713.208596317973,1,17
model1,0,prune,18,00 1 10,3,-6723.049367884209,0,17
model1,0,prune,19,0 1,2,-6783.878992479931,0,17
model1,1,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20438.35474874371,0,18
model1,1,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-20438.35474874371,0,18
model1,1,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-20438.35474874371,0,18
model1,1,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20438.354748743714,0,18
model1,1,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20438.354748743714,0,18
model1,1,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-20438.354748743714,0,18
model1,1,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-20438.35474874371,0,18
model1,1,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6846.201102529944,0,18
model1,1,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-6846.254954369447,0,18
model1,1,prune,9,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-6846.326779375024,0,18
model1,1,prune,10,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,-6846.409078138983,0,18
model1,1,prune,11,00000 00010 00100 001010 1 1000 10000 10010 10100 101010,10,-6846.9213679009445,0,18
model1,1,prune,12,00000 0010 00100 001010 1 1000 10000 10100 101010,9,-6847.207726216171,0,18
model1,1,prune,13,0000 0010 00100 001010 1 1000 10100 101010,8,-6847.891459047765,0,18
model1,1,prune,14,000 0010 00100 001010 1 10100 101010,7,-6848.1193689868705,0,18
model1,1,prune,15,000 0010 00100 1 1010 10100,6,-6849.530934431438,0,18
model1,1,prune,16,000 00100 1 10 10100,5,-6850.5712326587945,0,18
model1,1,prune,17,000 1 10 100,4,-6852.166004525604,0,18
model1,1,prune,18,00 1 10,3,-6852.583816092855,1,18
model1,1,prune,19,0 1,2,-6896.242626198296,0,18
model1,2,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20398.35231265353,0,17
model1,2,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-20398.35231265353,0,17
model1,2,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-20398.35231265353,0,17
model1,2,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20398.35231265353,0,17
model1,2,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20398.35231265353,0,17
model1,2,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-20398.35231265353,0,17
model1,2,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-20398.35231265353,0,17
model1,2,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6800.963702935505,0,17
model1,2,prune,8,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-6800.973150671471,0,17
model1,2,prune,9,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-6801.047505863219,0,17
model1,2,prune,10,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-6801.12853293543,0,17
model1,2,prune,11,00000 00010 001000 001010 1 100 10000 10010 101000 101010,10,-6801.243566583617,0,17
model1,2,prune,12,00000 0010 001000 001010 1 100 10000 101000 101010,9,-6801.400859407429,0,17
model1,2,prune,13,00000 0010 001010 1 100 1000 10000 101010,8,-6802.493149701261,0,17
model1,2,prune,14,00000 0010 1 100 1000 10000 1010,7,-6803.659861833019,0,17
model1,2,prune,15,00000 1 10 100 1000 10000,6,-6803.659862945989,0,17
model1,2,prune,16,0000 1 10 100 1000,5,-6805.021782367307,0,17
model1,2,prune,17,000 1 10 100,4,-6805.057190065556,1,17
model1,2,prune,18,00 1 10,3,-6812.19016207367,0,17
