model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3414.10308083304,1
model1,0,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-3414.1074756741405,0
model1,0,smc,2,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-3414.136982898433,0
model1,0,smc,3,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-3414.1792266549546,0
model1,0,smc,4,00000 001000 1 10 100 10000 101000,7,-3414.629455077396,0
model1,0,smc,5,00000 1 10 100 1000 10000,6,-3414.834588565056,0
model1,0,smc,6,00 1 10,3,-3418.6926392408677,0
model1,0,smc,7,0 1,2,-3439.8606695525855,0
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3448.6582630860753,1
model1,1,smc,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-3448.661317279216,0
model1,1,smc,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3448.6738321241387,0
model1,1,smc,3,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,-3448.754063308214,0
model1,1,smc,4,000000 00100 001000 1 10 10000 100000 10100 101000,9,-3449.0979486540086,0
model1,1,smc,5,000000 001000 1 10 100 10000 100000 101000,8,-3449.2708358035047,0
model1,1,smc,6,0000 001000 1 10 100 101000,6,-3451.0810282036095,0
model1,1,smc,7,00 1 10,3,-3453.971647386528,0
model1,1,smc,8,0 1,2,-3493.4185657903763,0
model1,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3459.0320424723914,1
model1,2,smc,1,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3459.032484003477,0
model1,2,smc,2,000000 000100 0010 001000 1 10000 100000 100100 1010 10100 101000,11,-3459.057398136756,0
model1,2,smc,3,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,-3459.1654125862783,0
model1,2,smc,4,000000 0010 1 100 1000 10000 100000 1010,8,-3459.393124464996,0
model1,2,smc,5,0000 0010 1 100 1000 1010,6,-3460.7612302958305,0
model1,2,smc,6,0000 1 10 100 1000,5,-3461.485949785043,0
model1,2,smc,7,000 1 10 100,4,-3462.496366256525,0
model1,2,smc,8,00 1 10,3,-3466.7415497581746,0
model1,2,smc,9,0 1,2,-3489.089094960401,0
model1,3,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3366.881622870893,1
model1,3,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3367.027828989641,0
model1,3,smc,2,000000 000100 001000 1 10 10000 100000 100100 10100 101000,10,-3367.5798058536925,0
model1,3,smc,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-3367.8018094301115,0
model1,3,smc,4,000 000100 1 10 100100 10100,6,-3369.2133400530474,0
model1,3,smc,5,000 00100 1 10 10100,5,-3369.817855275329,0
model1,3,smc,6,00 1 10,3,-3374.7736985300508,0
model1,3,smc,7,0 1,2,-3403.9558410533964,0
model1,4,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3332.339189019077,1
model1,4,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-3332.3680992926083,0
model1,4,smc,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-3332.438039091653,0
model1,4,smc,3,000000 0010 001010 1 100 1000 10000 100000 101010,9,-3332.5221729003842,0
model1,4,smc,4,00 0010 001010 1 101010,5,-3334.1698743919706,0
model1,4,smc,5,00 1 10,3,-3335.1364004316433,0
model1,4,smc,6,0 1,2,-3355.8259275272503,0
model1,5,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3356.1396969459083,1
model1,5,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3356.185320326124,0
model1,5,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-3356.252790219624,0
model1,5,smc,3,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,-3356.338084729539,0
model1,5,smc,4,00000 00010 000100 1 1000 10000 10010 100100 1010 10100,10,-3356.545749136665,0
model1,5,smc,5,00000 00010 00100 1 1000 10000 10010 1010 10100,9,-3356.8416296750706,0
model1,5,smc,6,00000 00100 1 10 1000 10000 10100,7,-3358.1994637831294,0
model1,5,smc,7,000 00100 1 10 10100,5,-3360.1764078200854,0
model1,5,smc,8,00 1 10,3,-3363.2219022947525,0
model1,5,smc,9,0 1,2,-3392.600662429284,0
model1,6,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3394.6264289923038,1
model1,6,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-3394.6353938630737,0
model1,6,smc,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-3394.799287015251,0
model1,6,smc,3,0000 000010 001000 001010 1 100 100010 10010 101000 101010,10,-3395.190458991315,0
model1,6,smc,4,0000 0010 001000 001010 1 100 101000 101010,8,-3395.666700186698,0
model1,6,smc,5,000 0010 001010 1 100 101010,6,-3396.1475570545567,0
model1,6,smc,6,000 0010 1 100 1010,5,-3396.493553303696,0
model1,6,smc,7,000 1 10 100,4,-3397.0040046034414,0
model1,6,smc,8,00 1 10,3,-3400.2466852628795,0
model1,6,smc,9,0 1,2,-3434.130352004121,0
model1,7,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3312.8740752170784,1
model1,7,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3313.1002826768768,0
model1,7,smc,2,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-3313.6810557257954,0
