model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6710.434639949401,0,5
model1,0,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6710.43688455138,0,5
model1,0,smc,2,000000 000100 001000 1 10 10000 100000 100100 10100 101000,10,-6710.81088152707,0,5
model1,0,smc,3,000000 001000 1 10 100 10000 100000 101000,8,-6711.4212093113865,0,5
model1,0,smc,4,000000 1 10 100 1000 10000 100000,7,-6711.749469201022,0,5
model1,0,smc,5,000 1 10 100,4,-6713.208596317973,1,5
model1,0,smc,6,00 1 10,3,-6723.049367884209,0,5
model1,0,smc,7,0 1,2,-6783.878992479931,0,5
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6846.201102529944,0,7
model1,1,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-6846.254954369447,0,7
model1,1,smc,2,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-6846.326779375024,0,7
model1,1,smc,3,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,-6846.409078138983,0,7
model1,1,smc,4,00000 0010 00100 001010 1 1000 10000 10100 101010,9,-6847.207726216171,0,7
model1,1,smc,5,000 0010 00100 001010 1 10100 101010,7,-6848.1193689868705,0,7
model1,1,smc,6,00 0010 001010 1 101010,5,-6850.131952420931,0,7
model1,1,smc,7,00 1 10,3,-6852.583816092855,1,7
model1,1,smc,8,0 1,2,-6896.242626198296,0,7
model1,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6800.963702935505,0,7
model1,2,smc,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-6800.973150671471,0,7
model1,2,smc,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-6801.047505863219,0,7
model1,2,smc,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-6801.12853293543,0,7
model1,2,smc,4,00000 00010 001000 001010 1 100 10000 10010 101000 101010,10,-6801.243566583617,0,7
model1,2,smc,5,00000 0010 001000 001010 1 100 10000 101000 101010,9,-6801.400859407429,0,7
model1,2,smc,6,00000 001000 1 10 100 10000 101000,7,-6802.567572652156,0,7
model1,2,smc,7,000 1 10 100,4,-6805.057190065556,1,7
model1,2,smc,8,00 1 10,3,-6812.19016207367,0,7
model1,2,smc,9,0 1,2,-6861.914287955544,0,7
model1,3,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6841.461452484998,0,6
model1,3,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-6841.462648234417,0,6
model1,3,smc,2,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010,11,-6841.492420483202,0,6
model1,3,smc,3,00000 000100 0010 001010 1 1000 10000 100100 10100 101010,10,-6841.516912268277,0,6
model1,3,smc,4,0000 000100 0010 001010 1 1000 100100 10100 101010,9,-6841.551815232323,0,6
model1,3,smc,5,0000 0010 001010 1 100 1000 101010,7,-6841.892550019465,0,6
model1,3,smc,6,0000 1 10 100 1000,5,-6842.56756942482,1,6
model1,3,smc,7,000 1 10 100,4,-6844.932192213208,0,6
model1,3,smc,8,00 1 10,3,-6850.080948157245,0,6
model1,3,smc,9,0 1,2,-6893.08231532689,0,6
model1,4,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6756.14617255881,0,8
model1,4,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-6756.147375186626,0,8
model1,4,smc,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-6756.176295464041,0,8
model1,4,smc,3,0000 000010 001000 001010 1 100 100010 10010 101000 101010,10,-6756.479275866841,0,8
model1,4,smc,4,0000 00010 001000 001010 1 100 10010 101000 101010,9,-6756.670212596628,0,8
model1,4,smc,5,000 00010 001010 1 100 10010 101010,7,-6757.122490758306,0,8
model1,4,smc,6,000 0010 001010 1 100 101010,6,-6757.352148168572,0,8
model1,4,smc,7,000 1 10 100,4,-6758.380620759036,0,8
model1,4,smc,8,00 1 10,3,-6761.523370242026,1,8
model1,4,smc,9,0 1,2,-6796.556063668861,0,8
model1,5,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6707.468565568753,0,7
model1,5,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-6707.475644833841,0,7
model1,5,smc,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-6707.560926929436,0,7
model1,5,smc,3,0000 000010 00100 001000 001010 1 100010 10010 10100 101000 101010,11,-6707.679924390744,0,7
model1,5,smc,4,0000 000010 00100 001000 1 100010 10010 1010 10100 101000,10,-6707.798970838419,0,7
model1,5,smc,5,0000 00100 001000 1 10 10100 101000,7,-6709.751158619082,0,7
model1,5,smc,6,0000 001000 1 10 100 101000,6,-6710.458010627313,0,7
model1,5,smc,7,000 1 10 100,4,-6712.743721726895,1,7
model1,5,smc,8,00 1 10,3,-6716.639558909617,0,7
model1,5,smc,9,0 1,2,-6751.839330733031,0,7
model1,6,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6837.19883513688,0,6
model1,6,smc,1,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-6837.43514851824,0,6
model1,6,smc,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-6837.673955516844,0,6
model1,6,smc,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-6838.317542979836,0,6
model1,6,smc,4,00000 000100 1 10 1000 10000 100100 10100,8,-6838.660618095579,0,6
model1,6,smc,5,000 000100 1 10 100100 10100,6,-6839.388406818981,0,6
model1,6,smc,6,000 1 10 100,4,-6840.569768950281,1,6
model1,6,smc,7,00 1 10,3,-6848.458967775826,0,6
model1,6,smc,8,0 1,2,-6909.512541392625,0,6
model1,7,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6726.521199821126,0,7
model1,7,smc,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-6726.559752559608,0,7
model1,7,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-6726.862287517271,0,7
