model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,prune,0,0 1,2,0,0
model1,5000,prune,1,00 1 10,3,0,0
model1,5000,prune,2,000 1 10 100,4,0,0
model1,5000,prune,3,0000 1 10 100 1000,5,0,0
model1,5000,prune,4,00000 1 10 100 1000 10000,6,0,0
model1,5000,prune,5,000000 010 1 100 1000 10000 100000,7,0,0
model1,5000,prune,6,000000 1 10 100 1000 10000 100000,7,0,0
model1,5000,prune,7,000000 0010 1 100 1000 10000 100000 1010,8,0,0
model1,5000,prune,8,000000 00010 1 100 1000 10000 100000 10010 1010,9,0,0
model1,5000,prune,9,000000 000010 0100 1 1000 10000 100000 100010 10010 1010,10,0,0
model1,5000,prune,10,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,0,0
model1,5000,prune,11,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,0,0
model1,5000,prune,12,000000 000010 000100 01010 1 1000 10000 100000 100010 10010 100100 10100,12,0,0
model1,5000,prune,13,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0,0
model1,5000,prune,14,000000 000010 000100 001010 01000 1 10000 100000 100010 10010 100100 10100 101010,13,0,0
model1,5000,prune,15,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,0,0
model1,5000,prune,16,000000 000010 000100 001000 001010 01 10000 100000 100010 10010 100100 10100 101000 101010,14,0,0
model1,5000,prune,17,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0,0
model1,5000,prune,18,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0,0
model1,5000,prune,19,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0,0
model1,5000,prune,20,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0,0
model1,5000,prune,21,000000 000001 000010 000100 001000 001010 01001 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101010,18,0,0
model1,5000,prune,22,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0,0
model1,5000,prune,23,000000 000001 000010 000100 001000 001001 001010 0101 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 101010,19,0,0
model1,5000,prune,24,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0,0
model1,5000,prune,25,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0,0
model1,5000,prune,26,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0,1
model1,5000,prune,0,0 1,2,1,0
model1,5000,prune,1,00 1 10,3,1,0
