model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.1114459668952,0,6
model1,0,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.1266252684777,0,6
model1,0,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.160799529797,0,6
model1,0,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1652.6602851558105,0,6
model1,0,smc,4,000000 1 10 100 1000 10000 100000,7,-1654.4355369618613,0,6
model1,0,smc,5,000 1 10 100,4,-1656.2375004179971,0,6
model1,0,smc,6,00 1 10,3,-1657.1731616573613,1,6
model1,0,smc,7,0 1,2,-1673.8054120192533,0,6
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1654.6401242744105,0,5
model1,1,smc,1,000 000010 000100 001010 1 100010 10010 100100 10100 101010,10,-1655.1541962153858,0,5
model1,1,smc,2,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1655.3028227812529,0,5
model1,1,smc,3,000 000100 1 10 100100 10100,6,-1655.9771563659506,0,5
model1,1,smc,4,000 00100 1 10 10100,5,-1656.6882243802497,0,5
model1,1,smc,5,00 1 10,3,-1658.2428456318405,1,5
model1,1,smc,6,0 1,2,-1682.0702643406835,0,5
model1,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1674.9372302254496,0,10
model1,2,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1674.9402281657303,0,10
model1,2,smc,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1674.9457083617276,0,10
model1,2,smc,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1675.0832807027564,0,10
model1,2,smc,4,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1675.224611370645,0,10
model1,2,smc,5,00000 00010 001010 1 100 1000 10000 10010 101010,9,-1675.611002876342,0,10
model1,2,smc,6,0000 00010 001010 1 100 1000 10010 101010,8,-1676.0401710766405,0,10
model1,2,smc,7,0000 0010 001010 1 100 1000 101010,7,-1676.4912679488762,0,10
model1,2,smc,8,000 0010 001010 1 100 101010,6,-1677.904692752585,0,10
model1,2,smc,9,00 0010 001010 1 101010,5,-1679.4758651640177,0,10
model1,2,smc,10,00 1 10,3,-1682.839004102823,1,10
model1,2,smc,11,0 1,2,-1691.258921151973,0,10
model1,3,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1689.275580030175,0,6
model1,3,smc,1,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1689.8846084165955,0,6
model1,3,smc,2,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1690.4373608447427,0,6
model1,3,smc,3,000 000010 001010 1 100 100010 10010 101010,8,-1691.9072582239535,0,6
model1,3,smc,4,000 0010 001010 1 100 101010,6,-1693.7132883081304,0,6
model1,3,smc,5,000 1 10 100,4,-1695.5857694979954,0,6
model1,3,smc,6,00 1 10,3,-1697.2099836648226,1,6
model1,3,smc,7,0 1,2,-1716.0996003716705,0,6
model1,4,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1663.4130832271258,0,5
model1,4,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1663.437503394128,0,5
model1,4,smc,2,000 000010 000100 001010 1 100010 10010 100100 10100 101010,10,-1663.719717808192,0,5
model1,4,smc,3,00 000010 001010 1 100010 10010 101010,7,-1664.0635608706823,0,5
model1,4,smc,4,00 0010 001010 1 101010,5,-1666.1482382249321,0,5
model1,4,smc,5,00 1 10,3,-1671.700067645404,1,5
model1,4,smc,6,0 1,2,-1680.7588944466636,0,5
model1,5,smc,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1698.185131049999,0,5
model1,5,smc,1,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-1698.2275974626502,0,5
model1,5,smc,2,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-1698.7164786352366,0,5
model1,5,smc,3,00000 001000 1 10 100 10000 101000,7,-1700.314213074009,0,5
model1,5,smc,4,00000 1 10 100 1000 10000,6,-1701.4074635978961,0,5
model1,5,smc,5,00 1 10,3,-1704.92396893384,1,5
model1,5,smc,6,0 1,2,-1721.8230861757274,0,5
model1,6,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1665.6482045955281,0,6
model1,6,smc,1,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1665.6544540511873,0,6
model1,6,smc,2,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-1665.7146195649432,0,6
model1,6,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1665.896537934506,0,6
model1,6,smc,4,000000 1 10 100 1000 10000 100000,7,-1666.8959557840155,0,6
model1,6,smc,5,000 1 10 100,4,-1668.0694670920625,0,6
model1,6,smc,6,00 1 10,3,-1668.8518328229504,1,6
model1,6,smc,7,0 1,2,-1676.4406168336757,0,6
model1,7,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1683.1172290501613,0,7
model1,7,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1683.1344857762979,0,7
model1,7,smc,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1683.1541176490766,0,7
model1,7,smc,3,000 000010 00100 001010 1 100010 10010 10100 101010,9,-1683.6075918065615,0,7
model1,7,smc,4,00 000010 001010 1 100010 10010 101010,7,-1684.1485309521145,0,7
model1,7,smc,5,00 0010 001010 1 101010,5,-1684.6999515782418,0,7
model1,7,smc,6,00 0010 1 1010,4,-1685.4378508339191,0,7
model1,7,smc,7,00 1 10,3,-1688.519804402897,1,7
model1,7,smc,8,0 1,2,-1702.6274218349045,0,7
model1,8,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1742.8460877339983,0,7
model1,8,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1742.8574566790369,0,7
model1,8,smc,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1742.9361501925912,0,7
model1,8,smc,3,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,-1743.4410311410386,0,7
model1,8,smc,4,000 0010 001010 1 100 101010,6,-1744.9166010376039,0,7
model1,8,smc,5,000 0010 1 100 1010,5,-1745.6318092010974,0,7
model1,8,smc,6,00 0010 1 1010,4,-1746.4427390474111,0,7
model1,8,smc,7,00 1 10,3,-1748.3938157765028,1,7
model1,8,smc,8,0 1,2,-1759.6991760436863,0,7
model1,9,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1625.9435962077441,0,7
model1,9,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1625.9441310688344,0,7
model1,9,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1626.0205689672719,0,7
model1,9,smc,3,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,-1626.3252326657985,0,7
model1,9,smc,4,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,-1626.814820392326,0,7
model1,9,smc,5,000000 000100 1 10 1000 10000 100000 100100 10100,9,-1627.5042509566354,0,7
model1,9,smc,6,000000 1 10 100 1000 10000 100000,7,-1629.0466683665893,0,7
model1,9,smc,7,0000 1 10 100 1000,5,-1631.6552870171972,1,7
model1,9,smc,8,00 1 10,3,-1637.139574565463,0,7
model1,9,smc,9,0 1,2,-1660.060927484777,0,7
model1,10,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1673.9420039292456,0,8
model1,10,smc,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-1673.9667508126768,0,8
model1,10,smc,2,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-1674.066918149604,0,8
model1,10,smc,3,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-1674.282053607303,0,8
model1,10,smc,4,00000 00010 00100 001000 1 10000 10010 1010 10100 101000,10,-1674.5127993479275,0,8
model1,10,smc,5,00000 0010 00100 001000 1 10000 1010 10100 101000,9,-1674.7758751694967,0,8
model1,10,smc,6,00000 0010 001000 1 100 10000 1010 101000,8,-1675.2146103828154,0,8
model1,10,smc,7,00 0010 1 1010,4,-1678.174637589087,0,8
model1,10,smc,8,00 1 10,3,-1679.4303221684509,1,8
model1,10,smc,9,0 1,2,-1683.066153098654,0,8
model1,11,smc,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1636.9526479869728,0,5
model1,11,smc,1,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010,11,-1636.9638288638325,0,5
model1,11,smc,2,00000 0010 00100 001000 001010 1 10000 10100 101000 101010,10,-1637.013210493487,0,5
model1,11,smc,3,00000 0010 001000 001010 1 100 10000 101000 101010,9,-1637.0836754388,0,5
model1,11,smc,4,00000 001000 1 10 100 10000 101000,7,-1638.0235196956726,0,5
model1,11,smc,5,00 1 10,3,-1641.344294692989,1,5
model1,11,smc,6,0 1,2,-1661.0862586522076,0,5
model1,12,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1714.3054438377724,0,8
model1,12,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1714.3059733717103,0,8
model1,12,smc,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1714.339074534584,0,8
model1,12,smc,3,0000 000010 00100 001010 1 1000 100010 10010 10100 101010,10,-1714.5242317866175,0,8
model1,12,smc,4,0000 000010 001010 1 100 1000 100010 10010 101010,9,-1714.7643857536211,0,8
model1,12,smc,5,0000 00010 001010 1 100 1000 10010 101010,8,-1715.0358687245587,0,8
model1,12,smc,6,0000 0010 001010 1 100 1000 101010,7,-1715.3382138910044,0,8
model1,12,smc,7,00 0010 001010 1 101010,5,-1716.563361176645,0,8
model1,12,smc,8,00 1 10,3,-1717.824361201134,1,8
model1,12,smc,9,0 1,2,-1731.5860102882793,0,8
model1,13,smc,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1692.198971942481,0,6
model1,13,smc,1,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-1692.219152690571,0,6
model1,13,smc,2,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1692.6531598326412,0,6
model1,13,smc,3,0000 000010 001010 1 100 1000 100010 10010 101010,9,-1693.2632499791957,0,6
model1,13,smc,4,0000 1 10 100 1000,5,-1696.3657728237815,0,6
model1,13,smc,5,000 1 10 100,4,-1697.2283574447852,0,6
model1,13,smc,6,00 1 10,3,-1699.0016457675233,1,6
model1,13,smc,7,0 1,2,-1710.3463650224905,0,6
model1,14,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1659.6605515230367,0,9
model1,14,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1659.6737740789472,0,9
model1,14,smc,2,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,-1659.9184821298938,0,9
model1,14,smc,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-1660.0438097024296,0,9
model1,14,smc,4,0000 000010 00100 001000 1 100010 10010 1010 10100 101000,10,-1660.3011425682873,0,9
model1,14,smc,5,0000 0010 00100 001000 1 1010 10100 101000,8,-1660.9567855541866,0,9
model1,14,smc,6,0000 0010 00100 1 1000 1010 10100,7,-1661.5005763909026,0,9
model1,14,smc,7,0000 00100 1 10 1000 10100,6,-1662.702787592505,0,9
model1,14,smc,8,0000 1 10 100 1000,5,-1663.9774654782348,0,9
model1,14,smc,9,000 1 10 100,4,-1665.5668071293344,1,9
model1,14,smc,10,00 1 10,3,-1669.1702904577862,0,9
model1,14,smc,11,0 1,2,-1678.759260647466,0,9
model1,15,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1642.5703246781509,0,6
model1,15,smc,1,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-1643.0712241823053,0,6
model1,15,smc,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-1643.5050448949855,0,6
model1,15,smc,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-1644.470275512429,0,6
model1,15,smc,4,000000 00100 1 10 1000 10000 100000 10100,8,-1644.9589056360153,0,6
model1,15,smc,5,0000 00100 1 10 1000 10100,6,-1646.532944895579,0,6
model1,15,smc,6,00 1 10,3,-1650.4601000130388,1,6
