model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-10228.647447136,0,16
model1,0,prune,1, 000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,21,-10228.647447136002,0,16
model1,0,prune,2, 000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,20,-10228.647447136002,0,16
model1,0,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-10228.647447136,0,16
model1,0,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-10228.647447136002,0,16
model1,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-10228.647447136002,0,16
model1,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-10228.647447136002,0,16
model1,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3415.2851186334315,0,16
model1,0,prune,8,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-3415.2895134745313,0,16
model1,0,prune,9,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-3415.3188809941266,0,16
model1,0,prune,10,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-3415.5573559397367,0,16
model1,0,prune,11,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-3415.5995996962583,0,16
model1,0,prune,12,00000 000010 1 100 1000 10000 100010 10010 1010,9,-3415.8047331839184,0,16
model1,0,prune,13,00000 00010 1 100 1000 10000 10010 1010,8,-3416.171363819947,0,16
model1,0,prune,14,00000 0010 1 100 1000 10000 1010,7,-3416.260638511011,0,16
model1,0,prune,15,00000 1 10 100 1000 10000,6,-3417.4615335302833,0,16
model1,0,prune,16,0000 1 10 100 1000,5,-3419.067812140749,1,16
model1,0,prune,17,000 1 10 100,4,-3420.5967654367887,0,16
model1,0,prune,18,00 1 10,3,-3421.327998187772,0,16
model1,0,prune,19,0 1,2,-3443.7386495005294,0,16
model1,1,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-10254.76758193605,0,17
model1,1,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-10254.76758193605,0,17
model1,1,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-10254.767581936052,0,17
model1,1,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-10254.767581936052,0,17
model1,1,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-10254.767581936052,0,17
model1,1,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-10254.767581936052,0,17
model1,1,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-10254.767581936052,0,17
model1,1,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3449.04894444213,0,17
model1,1,prune,8,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-3449.051998635271,0,17
model1,1,prune,9,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3449.063045851718,0,17
model1,1,prune,10,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,-3449.143277035793,0,17
model1,1,prune,11,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,-3449.543361873494,0,17
model1,1,prune,12,000000 0010 001000 1 100 10000 100000 1010 101000,9,-3449.836140898067,0,17
model1,1,prune,13,000000 001000 1 10 100 10000 100000 101000,8,-3451.024461774363,0,17
model1,1,prune,14,00000 001000 1 10 100 10000 101000,7,-3452.177434670438,0,17
model1,1,prune,15,0000 001000 1 10 100 101000,6,-3452.8346541744677,0,17
model1,1,prune,16,0000 1 10 100 1000,5,-3454.5140959701057,0,17
model1,1,prune,17,000 1 10 100,4,-3455.650135405483,1,17
model1,1,prune,18,00 1 10,3,-3455.727746618536,0,17
model1,1,prune,19,0 1,2,-3496.343618718484,0,17
model1,2,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-10263.060277298497,0,14
model1,2,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-10263.060277298497,0,14
model1,2,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-10263.060277298497,0,14
model1,2,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-10263.060277298497,0,14
model1,2,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-10263.060277298497,0,14
model1,2,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-10263.060277298497,0,14
model1,2,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-10263.060277298497,0,14
model1,2,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3459.0320424723914,0,14
model1,2,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3459.056956605671,0,14
model1,2,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-3459.1649710551933,0,14
model1,2,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,-3459.3835382841435,0,14
model1,2,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-3459.392682933911,0,14
model1,2,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,-3459.745199496061,0,14
model1,2,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-3459.746436604365,0,14
model1,2,prune,14,000000 1 10 100 1000 10000 100000,7,-3460.48971379293,1,14
model1,2,prune,15,00000 1 10 100 1000 10000,6,-3461.8211271275695,0,14
model1,2,prune,16,0000 1 10 100 1000,5,-3461.857819623764,0,14
