model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.444795181903,0,6
model1,0,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.4599744834854,0,6
model1,0,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.4941487448048,0,6
model1,0,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1653.1932381674112,0,6
model1,0,smc,4,000000 00010 1 100 1000 10000 100000 10010 1010,9,-1653.9008579297204,0,6
model1,0,smc,5,000000 1 10 100 1000 10000 100000,7,-1656.2041186320605,0,6
model1,0,smc,6,000 1 10 100,4,-1658.0060820881963,1,6
model1,0,smc,7,00 1 10,3,-1658.9535249100395,0,6
model1,0,smc,8,0 1,2,-1676.7464011362047,0,6
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1654.6401242744105,0,5
model1,1,smc,1,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-1654.9021045345714,0,5
model1,1,smc,2,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000,11,-1655.0507311004385,0,5
model1,1,smc,3,0000 000010 000100 1 1000 100010 10010 100100 1010 10100,10,-1655.2445401682426,0,5
model1,1,smc,4,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1655.5268640020076,0,5
model1,1,smc,5,000 000100 1 10 100100 10100,6,-1657.393768748066,1,5
model1,1,smc,6,000 00100 1 10 10100,5,-1658.1048367623653,0,5
model1,1,smc,7,000 1 10 100,4,-1659.3615609944495,0,5
model1,1,smc,8,00 1 10,3,-1661.3536926047761,0,5
model1,1,smc,9,0 1,2,-1687.3136807727096,0,5
