model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,0 1,2,-1689.7785636800913,0,1
model1,0,smc,1,,1,-3453.7094613125914,1,1
model1,1,smc,0,00 1 10,3,-1689.1435662623505,0,1
model1,1,smc,1,0 1,2,-1698.037337346118,1,1
model1,1,smc,2,,1,-3452.4594999464944,0,1
model1,2,smc,0,0 1,2,-1707.2259459530835,0,1
model1,2,smc,1,,1,-3451.1964044356973,1,1
model1,3,smc,0,00 1 10,3,-1730.9602578311315,0,1
model1,3,smc,1,0 1,2,-1732.0728352688043,1,1
model1,3,smc,2,,1,-3447.6551134141387,0,1
model1,4,smc,0,0 1,2,-1696.7320594336134,0,1
model1,4,smc,1,,1,-3452.7732213518266,1,1
model1,5,smc,0,00 1 10,3,-1735.8243935707324,0,1
model1,5,smc,1,0 1,2,-1737.7899405044632,1,1
model1,5,smc,2,,1,-3445.6822476344405,0,1
model1,6,smc,0,0 1,2,-1692.4077138582838,0,1
model1,6,smc,1,,1,-3453.0861219783146,1,1
