model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3414.10308083304,0,6
model1,0,smc,0.0009544193744659424,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-3414.1074756741405,0,6
model1,0,smc,0.0032074534433768065,2,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-3414.136982898433,0,6
model1,0,smc,0.009173687015091157,3,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-3414.1792266549546,0,6
model1,0,smc,0.03259020359231814,4,00000 001000 1 10 100 10000 101000,7,-3414.629455077396,0,6
model1,0,smc,0.044544488254567395,5,00000 1 10 100 1000 10000,6,-3414.834588565056,0,6
model1,0,smc,0.2792583481310048,6,00 1 10,3,-3418.6926392408677,1,6
model1,0,smc,4.596581275995991,7,0 1,2,-3439.8606695525855,0,6
model1,1,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3448.6582630860753,0,7
model1,1,smc,0.000667572021484375,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-3448.661317279216,0,7
model1,1,smc,0.002717958113862551,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3448.6738321241387,0,7
model1,1,smc,0.017422024318728312,3,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,-3448.754063308214,0,7
model1,1,smc,0.037338426157670294,4,000000 00100 001000 1 10 10000 100000 10100 101000,9,-3449.0979486540086,0,7
model1,1,smc,0.037542495841156764,5,000000 001000 1 10 100 10000 100000 101000,8,-3449.2708358035047,0,7
model1,1,smc,0.19654373543633052,6,0000 001000 1 10 100 101000,6,-3451.0810282036095,0,7
model1,1,smc,0.20923241824355637,7,00 1 10,3,-3453.971647386528,1,7
model1,1,smc,8.565794163933528,8,0 1,2,-3493.4185657903763,0,7
model1,2,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3459.0320424723914,0,7
model1,2,smc,4.805624485015869e-05,1,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3459.032484003477,0,7
model1,2,smc,0.005412471696697452,2,000000 000100 0010 001000 1 10000 100000 100100 1010 10100 101000,11,-3459.057398136756,0,7
model1,2,smc,0.02345978127629054,3,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,-3459.1654125862783,0,7
model1,2,smc,0.024723848186670474,4,000000 0010 1 100 1000 10000 100000 1010,8,-3459.393124464996,0,7
model1,2,smc,0.1485405043465421,5,0000 0010 1 100 1000 1010,6,-3460.7612302958305,0,7
model1,2,smc,0.1573726947344795,6,0000 1 10 100 1000,5,-3461.485949785043,0,7
model1,2,smc,0.21940977337397127,7,000 1 10 100,4,-3462.496366256525,1,7
model1,2,smc,0.9218318193979298,8,00 1 10,3,-3466.7415497581746,0,7
model1,2,smc,4.85271063324391,9,0 1,2,-3489.089094960401,0,7
model1,3,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3366.881622870893,0,6
model1,3,smc,0.031748414039611816,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3367.027828989641,0,6
model1,3,smc,0.03995932642730793,2,000000 000100 001000 1 10 10000 100000 100100 10100 101000,10,-3367.5798058536925,0,6
model1,3,smc,0.0482082919477233,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-3367.8018094301115,0,6
model1,3,smc,0.1021721515828104,4,000 000100 1 10 100100 10100,6,-3369.2133400530474,0,6
model1,3,smc,0.13127117997317114,5,000 00100 1 10 10100,5,-3369.817855275329,0,6
model1,3,smc,0.5380746047821878,6,00 1 10,3,-3374.7736985300508,1,6
