model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 1 10 100 1000 10000 100000,7,-6711.749469201022,0,1
model1,0,smc,1,000 1 10 100,4,-6713.208596317973,1,1
model1,0,smc,2,00 1 10,3,-6723.049367884209,0,1
model1,0,smc,3,0 1,2,-6783.878992479931,0,1
model1,1,smc,0,000000 1 10 100 1000 10000 100000,7,-6851.1825367493275,0,2
model1,1,smc,1,00000 1 10 100 1000 10000,6,-6851.2543617549045,0,2
model1,1,smc,2,000 1 10 100,4,-6852.166004525604,1,2
model1,1,smc,3,00 1 10,3,-6852.583816092855,0,2
model1,1,smc,4,0 1,2,-6896.242626198296,0,2
model1,2,smc,0,000000 1 10 100 1000 10000 100000,7,-6803.58550775424,0,2
model1,2,smc,1,00000 1 10 100 1000 10000,6,-6803.659862945989,0,2
model1,2,smc,2,000 1 10 100,4,-6805.057190065556,1,2
model1,2,smc,3,00 1 10,3,-6812.19016207367,0,2
model1,2,smc,4,0 1,2,-6861.914287955544,0,2
model1,3,smc,0,000000 1 10 100 1000 10000 100000,7,-6842.531470711353,0,2
model1,3,smc,1,00000 1 10 100 1000 10000,6,-6842.532666460774,0,2
model1,3,smc,2,0000 1 10 100 1000,5,-6842.56756942482,1,2
model1,3,smc,3,000 1 10 100,4,-6844.932192213208,0,2
model1,3,smc,4,00 1 10,3,-6850.080948157245,0,2
model1,3,smc,5,0 1,2,-6893.08231532689,0,2
model1,4,smc,0,000000 1 10 100 1000 10000 100000,7,-6758.206395862922,0,4
model1,4,smc,1,00000 1 10 100 1000 10000,6,-6758.207598490739,0,4
model1,4,smc,2,0000 1 10 100 1000,5,-6758.236518768154,0,4
model1,4,smc,3,000 1 10 100,4,-6758.380620759036,0,4
model1,4,smc,4,00 1 10,3,-6761.523370242026,1,4
model1,4,smc,5,0 1,2,-6796.556063668861,0,4
model1,5,smc,0,000000 1 10 100 1000 10000 100000,7,-6712.402803927278,0,3
model1,5,smc,1,00000 1 10 100 1000 10000,6,-6712.409883192367,0,3
model1,5,smc,2,0000 1 10 100 1000,5,-6712.495165287961,0,3
model1,5,smc,3,000 1 10 100,4,-6712.743721726895,1,3
model1,5,smc,4,00 1 10,3,-6716.639558909617,0,3
model1,5,smc,5,0 1,2,-6751.839330733031,0,3
model1,6,smc,0,000000 1 10 100 1000 10000 100000,7,-6839.498905111133,0,2
model1,6,smc,1,00000 1 10 100 1000 10000,6,-6839.841980226877,0,2
model1,6,smc,2,000 1 10 100,4,-6840.569768950281,1,2
model1,6,smc,3,00 1 10,3,-6848.458967775826,0,2
model1,6,smc,4,0 1,2,-6909.512541392625,0,2
model1,7,smc,0,000000 1 10 100 1000 10000 100000,7,-6732.083313984471,0,1
model1,7,smc,1,000 1 10 100,4,-6733.450084797197,1,1
model1,7,smc,2,00 1 10,3,-6737.17420688136,0,1
model1,7,smc,3,0 1,2,-6779.317536518671,0,1
model1,8,smc,0,000000 1 10 100 1000 10000 100000,7,-6607.268540090626,0,2
model1,8,smc,1,0000 1 10 100 1000,5,-6607.651548067804,0,2
model1,8,smc,2,000 1 10 100,4,-6608.2850319085455,1,2
model1,8,smc,3,00 1 10,3,-6611.9780544144705,0,2
model1,8,smc,4,0 1,2,-6658.875014697078,0,2
model1,9,smc,0,000000 1 10 100 1000 10000 100000,7,-6730.612022920103,0,2
model1,9,smc,1,00000 1 10 100 1000 10000,6,-6730.765921859638,0,2
model1,9,smc,2,000 1 10 100,4,-6731.5374176267,1,2
model1,9,smc,3,00 1 10,3,-6736.560397666267,0,2
model1,9,smc,4,0 1,2,-6792.986322252407,0,2
model1,10,smc,0,000000 1 10 100 1000 10000 100000,7,-6749.059588963519,0,2
model1,10,smc,1,00000 1 10 100 1000 10000,6,-6749.684272915054,0,2
model1,10,smc,2,000 1 10 100,4,-6750.989483239355,1,2
model1,10,smc,3,00 1 10,3,-6759.229086880129,0,2
model1,10,smc,4,0 1,2,-6794.283018028382,0,2
model1,11,smc,0,000000 1 10 100 1000 10000 100000,7,-6786.60485389029,0,1
model1,11,smc,1,000 1 10 100,4,-6786.922474699553,1,1
model1,11,smc,2,00 1 10,3,-6790.657520609362,0,1
model1,11,smc,3,0 1,2,-6823.409688227863,0,1
model1,12,smc,0,000000 1 10 100 1000 10000 100000,7,-6801.6491050095465,0,2
model1,12,smc,1,0000 1 10 100 1000,5,-6801.840212289439,0,2
model1,12,smc,2,000 1 10 100,4,-6802.006195167067,1,2
model1,12,smc,3,00 1 10,3,-6804.383774363952,0,2
model1,12,smc,4,0 1,2,-6857.116163560494,0,2
model1,13,smc,0,00000 1 10 100 1000 10000,6,-6775.003890834984,0,2
model1,13,smc,1,0000 1 10 100 1000,5,-6775.400655963449,0,2
model1,13,smc,2,000 1 10 100,4,-6777.072776632849,1,2
model1,13,smc,3,00 1 10,3,-6779.7450237253515,0,2
model1,13,smc,4,0 1,2,-6825.665756936552,0,2
model1,14,smc,0,000000 1 10 100 1000 10000 100000,7,-6697.008757593318,0,4
model1,14,smc,1,00000 1 10 100 1000 10000,6,-6697.009015063988,0,4
model1,14,smc,2,0000 1 10 100 1000,5,-6697.376422623991,0,4
model1,14,smc,3,000 1 10 100,4,-6698.525751620125,0,4
model1,14,smc,4,00 1 10,3,-6700.171294636746,1,4
model1,14,smc,5,0 1,2,-6752.830112692623,0,4
model1,15,smc,0,000000 1 10 100 1000 10000 100000,7,-6802.870838150899,0,1
model1,15,smc,1,000 1 10 100,4,-6804.577574701378,1,1
model1,15,smc,2,00 1 10,3,-6814.042819414987,0,1
model1,15,smc,3,0 1,2,-6852.638586765803,0,1
model1,16,smc,0,000000 1 10 100 1000 10000 100000,7,-6789.987334217677,0,2
model1,16,smc,1,00000 1 10 100 1000 10000,6,-6789.998034146571,0,2
model1,16,smc,2,000 1 10 100,4,-6790.528347857676,1,2
model1,16,smc,3,00 1 10,3,-6795.6271206869715,0,2
model1,16,smc,4,0 1,2,-6851.680759672585,0,2
model1,17,smc,0,000000 1 10 100 1000 10000 100000,7,-6759.768037690903,0,2
model1,17,smc,1,00000 1 10 100 1000 10000,6,-6759.848000654132,0,2
model1,17,smc,2,0000 1 10 100 1000,5,-6759.965644281452,1,2
model1,17,smc,3,000 1 10 100,4,-6760.96145315127,0,2
model1,17,smc,4,00 1 10,3,-6764.827547488282,0,2
model1,17,smc,5,0 1,2,-6811.138827256029,0,2
model1,18,smc,0,000000 1 10 100 1000 10000 100000,7,-6813.326209312525,0,1
model1,18,smc,1,000 1 10 100,4,-6814.065608167543,1,1
model1,18,smc,2,00 1 10,3,-6822.376369786638,0,1
model1,18,smc,3,0 1,2,-6850.397885205681,0,1
model1,19,smc,0,000000 1 10 100 1000 10000 100000,7,-6779.949734041293,0,3
model1,19,smc,1,00000 1 10 100 1000 10000,6,-6779.951304807552,0,3
model1,19,smc,2,0000 1 10 100 1000,5,-6779.959233226013,0,3
model1,19,smc,3,000 1 10 100,4,-6779.992540384084,1,3
model1,19,smc,4,00 1 10,3,-6786.444534061832,0,3
model1,19,smc,5,0 1,2,-6828.243104852314,0,3
model1,20,smc,0,000000 1 10 100 1000 10000 100000,7,-6734.503066416105,0,3
model1,20,smc,1,00000 1 10 100 1000 10000,6,-6734.7395970759,0,3
model1,20,smc,2,0000 1 10 100 1000,5,-6735.027021487444,0,3
model1,20,smc,3,000 1 10 100,4,-6735.667556587496,1,3
model1,20,smc,4,00 1 10,3,-6743.625228384595,0,3
model1,20,smc,5,0 1,2,-6789.413964705409,0,3
model1,21,smc,0,000000 1 10 100 1000 10000 100000,7,-6830.052323106909,0,3
model1,21,smc,1,00000 1 10 100 1000 10000,6,-6830.05874692115,0,3
