model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-5072.996490997824,0,18
model1,0,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-5072.996490997824,0,18
model1,0,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-5072.996490997824,0,18
model1,0,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-5072.996490997824,0,18
model1,0,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-5072.996490997824,0,18
model1,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-5072.996490997825,0,18
model1,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-5072.996490997825,0,18
model1,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.444795181903,0,18
model1,0,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.4599744834854,0,18
model1,0,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.4941487448048,0,18
model1,0,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,-1652.8336550624172,0,18
model1,0,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1653.1932381674112,0,18
model1,0,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,-1653.9008579297204,0,18
model1,0,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-1654.9848082547444,0,18
model1,0,prune,14,000000 1 10 100 1000 10000 100000,7,-1656.2041186320605,0,18
model1,0,prune,15,00000 1 10 100 1000 10000,6,-1657.532404919706,0,18
model1,0,prune,16,0000 1 10 100 1000,5,-1657.5335828418076,0,18
model1,0,prune,17,000 1 10 100,4,-1658.0060820881963,0,18
model1,0,prune,18,00 1 10,3,-1658.9535249100395,1,18
model1,0,prune,19,0 1,2,-1675.746574406392,0,18
