model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 1 10 100 1000 10000 100000,7,-6712.1063902325795,0,1
model1,0,smc,1,000 1 10 100,4,-6713.872653821701,1,1
model1,0,smc,2,00 1 10,3,-6725.239226702288,0,1
model1,0,smc,3,0 1,2,-6787.113926324419,0,1
model1,1,smc,0,000000 1 10 100 1000 10000 100000,7,-6851.545109951372,0,3
model1,1,smc,1,00000 1 10 100 1000 10000,6,-6851.616934956949,0,3
model1,1,smc,2,000 1 10 100,4,-6852.791572941498,0,3
model1,1,smc,3,00 1 10,3,-6854.712475899209,1,3
model1,1,smc,4,0 1,2,-6899.444380539692,0,3
model1,2,smc,0,000000 1 10 100 1000 10000 100000,7,-6803.58550775424,0,2
model1,2,smc,1,00000 1 10 100 1000 10000,6,-6803.659862945989,0,2
model1,2,smc,2,000 1 10 100,4,-6806.690612142881,1,2
model1,2,smc,3,00 1 10,3,-6815.52682303333,0,2
model1,2,smc,4,0 1,2,-6866.0803510228925,0,2
model1,3,smc,0,000000 1 10 100 1000 10000 100000,7,-6845.576232373765,0,2
model1,3,smc,1,00000 1 10 100 1000 10000,6,-6845.577428123185,0,2
model1,3,smc,2,0000 1 10 100 1000,5,-6845.612331087232,1,2
model1,3,smc,3,000 1 10 100,4,-6848.006143387674,0,2
model1,3,smc,4,00 1 10,3,-6853.037937880285,0,2
model1,3,smc,5,0 1,2,-6895.956463760674,0,2
model1,4,smc,0,000000 1 10 100 1000 10000 100000,7,-6759.428461025608,0,4
model1,4,smc,1,00000 1 10 100 1000 10000,6,-6759.4296636534245,0,4
model1,4,smc,2,0000 1 10 100 1000,5,-6759.45858393084,0,4
model1,4,smc,3,000 1 10 100,4,-6759.894473853317,0,4
model1,4,smc,4,00 1 10,3,-6764.51436465752,1,4
model1,4,smc,5,0 1,2,-6800.76305763296,0,4
model1,5,smc,0,000000 1 10 100 1000 10000 100000,7,-6712.7473968035065,0,3
model1,5,smc,1,00000 1 10 100 1000 10000,6,-6712.754476068593,0,3
model1,5,smc,2,0000 1 10 100 1000,5,-6712.839758164189,0,3
model1,5,smc,3,000 1 10 100,4,-6713.381713180737,1,3
model1,5,smc,4,00 1 10,3,-6718.764058495191,0,3
model1,5,smc,5,0 1,2,-6755.083908002522,0,3
model1,6,smc,0,000000 1 10 100 1000 10000 100000,7,-6841.257906078596,0,2
model1,6,smc,1,00000 1 10 100 1000 10000,6,-6841.600981194338,0,2
model1,6,smc,2,000 1 10 100,4,-6842.328769917742,1,2
model1,6,smc,3,00 1 10,3,-6850.236535938149,0,2
model1,6,smc,4,0 1,2,-6911.441630687012,0,2
model1,7,smc,0,000000 1 10 100 1000 10000 100000,7,-6732.433368935857,0,2
model1,7,smc,1,0000 1 10 100 1000,5,-6733.432172893101,0,2
model1,7,smc,2,000 1 10 100,4,-6734.08807161292,1,2
model1,7,smc,3,00 1 10,3,-6739.315176590153,0,2
model1,7,smc,4,0 1,2,-6782.553838330193,0,2
