model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1, 0,SeqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -3415.2851, 0
model1, 0,SeqROCTM, 1, 00000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 13, -3415.2895, 0
model1, 0,SeqROCTM, 2, 00000 10000 001000 101000 100 000010 100010 10010 001010 101010 1 , 11, -3415.5574, 0
model1, 0,SeqROCTM, 3, 00000 10000 001000 101000 100 000010 100010 10010 1010 1 , 10, -3415.5996, 0
model1, 0,SeqROCTM, 4, 00000 10000 001000 101000 100 10 1 , 7, -3417.2564, 0
model1, 0,SeqROCTM, 5, 00000 10000 1000 100 10 1 , 6, -3417.4615, 0
model1, 0,SeqROCTM, 6, 00 10 1 , 3, -3421.328, 1
model1, 0,SeqROCTM, 7, 0 1 , 2, -3442.7387, 0
model1, 0,SeqROCTM, 8, , 0, -6799.0172, 0
model1, 1,SeqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -3449.0489, 0
model1, 1,SeqROCTM, 1, 000000 100000 10000 001000 101000 000100 100100 10100 00010 10010 001010 101010 1 , 13, -3449.052, 0
model1, 1,SeqROCTM, 2, 000000 100000 10000 001000 101000 000100 100100 10100 0010 001010 101010 1 , 12, -3449.063, 0
model1, 1,SeqROCTM, 3, 000000 100000 10000 001000 101000 00100 10100 0010 001010 101010 1 , 11, -3449.1433, 0
model1, 1,SeqROCTM, 4, 000000 100000 10000 001000 101000 00100 10100 10 1 , 9, -3450.6244, 0
model1, 1,SeqROCTM, 5, 000000 100000 10000 001000 101000 100 10 1 , 8, -3451.0245, 0
model1, 1,SeqROCTM, 6, 0000 001000 101000 100 10 1 , 6, -3452.8347, 0
model1, 1,SeqROCTM, 7, 00 10 1 , 3, -3455.7277, 1
model1, 1,SeqROCTM, 8, 0 1 , 2, -3495.3437, 0
model1, 1,SeqROCTM, 9, , 0, -6791.0339, 0
model1, 2,SeqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -3459.032, 0
model1, 2,SeqROCTM, 1, 000000 100000 10000 001000 101000 000100 100100 10100 0010 001010 101010 1 , 12, -3459.3858, 0
model1, 2,SeqROCTM, 2, 000000 100000 10000 001000 101000 000100 100100 10100 0010 1010 1 , 11, -3459.4107, 0
model1, 2,SeqROCTM, 3, 000000 100000 10000 1000 000100 100100 10100 0010 1010 1 , 10, -3459.5187, 0
model1, 2,SeqROCTM, 4, 000000 100000 10000 1000 100 0010 1010 1 , 8, -3459.7464, 0
model1, 2,SeqROCTM, 5, 0000 1000 100 0010 1010 1 , 6, -3461.1145, 0
model1, 2,SeqROCTM, 6, 0000 1000 100 10 1 , 5, -3461.8578, 0
model1, 2,SeqROCTM, 7, 000 100 10 1 , 4, -3463.1973, 1
model1, 2,SeqROCTM, 8, 00 10 1 , 3, -3468.8615, 0
model1, 2,SeqROCTM, 9, 0 1 , 2, -3492.2663, 0
model1, 2,SeqROCTM, 10, , 0, -6791.3713, 0
model1, 3,SeqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -3367.2295, 0
model1, 3,SeqROCTM, 1, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 1010 1 , 13, -3367.3757, 0
model1, 3,SeqROCTM, 2, 000000 100000 10000 001000 101000 000100 100100 10100 10 1 , 10, -3369.1375, 0
model1, 3,SeqROCTM, 3, 000000 100000 10000 1000 000100 100100 10100 10 1 , 9, -3369.3595, 0
model1, 3,SeqROCTM, 4, 000 000100 100100 10100 10 1 , 6, -3370.771, 0
model1, 3,SeqROCTM, 5, 000 00100 10100 10 1 , 5, -3371.3755, 0
model1, 3,SeqROCTM, 6, 00 10 1 , 3, -3376.5584, 1
model1, 3,SeqROCTM, 7, 0 1 , 2, -3405.8904, 0
model1, 3,SeqROCTM, 8, , 0, -6804.5287, 0
model1, 4,SeqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -3332.3392, 0
model1, 4,SeqROCTM, 1, 000000 100000 10000 1000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 13, -3332.3681, 0
model1, 4,SeqROCTM, 2, 000000 100000 10000 1000 000100 100100 10100 0010 001010 101010 1 , 11, -3332.7717, 0
model1, 4,SeqROCTM, 3, 000000 100000 10000 1000 100 0010 001010 101010 1 , 9, -3332.8559, 0
model1, 4,SeqROCTM, 4, 00 0010 001010 101010 1 , 5, -3336.3086, 0
model1, 4,SeqROCTM, 5, 00 10 1 , 3, -3337.2846, 1
model1, 4,SeqROCTM, 6, 0 1 , 2, -3359.0819, 0
model1, 4,SeqROCTM, 7, , 0, -6810.8611, 0
model1, 5,SeqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -3356.1397, 0
model1, 5,SeqROCTM, 1, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 1010 1 , 13, -3356.1853, 0
model1, 5,SeqROCTM, 2, 000000 100000 10000 1000 000100 100100 10100 000010 100010 10010 1010 1 , 12, -3356.2528, 0
model1, 5,SeqROCTM, 3, 000000 100000 10000 1000 000100 100100 10100 00010 10010 1010 1 , 11, -3356.3381, 0
model1, 5,SeqROCTM, 4, 00000 10000 1000 000100 100100 10100 00010 10010 1010 1 , 10, -3357.0356, 0
model1, 5,SeqROCTM, 5, 00000 10000 1000 00100 10100 00010 10010 1010 1 , 9, -3357.3315, 0
