model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-4840.357898937782,0,13
model2,0,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-4840.357898937782,0,13
model2,0,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-4840.357898937782,0,13
model2,0,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-4840.357898937782,0,13
model2,0,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-4840.357898937782,0,13
model2,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-4840.357898937782,0,13
model2,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-4840.357898937782,0,13
model2,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1395.9284577660897,0,13
model2,0,prune,8,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1395.949744383186,0,13
model2,0,prune,9,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-1395.977950531222,0,13
model2,0,prune,10,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010,11,-1396.027525108444,0,13
model2,0,prune,11,0000 00010 000100 001000 1 10010 100100 1010 10100 101000,10,-1396.548412381307,0,13
model2,0,prune,12,0000 000100 0010 001000 1 100100 1010 10100 101000,9,-1397.3711397150944,0,13
model2,0,prune,13,0000 000100 001000 1 10 100100 10100 101000,8,-1399.5331119379227,1,13
