model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.444795181903,0,6
model1,0,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.4599744834854,0,6
model1,0,smc,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.4941487448048,0,6
model1,0,smc,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1653.1932381674112,0,6
model1,0,smc,4,000 000010 1 100 100010 10010 1010,7,-1654.995201623547,0,6
model1,0,smc,5,000 00010 1 100 10010 1010,6,-1655.7028213858562,0,6
model1,0,smc,6,000 1 10 100,4,-1658.0060820881963,1,6
model1,0,smc,7,00 1 10,3,-1658.9535249100395,0,6
model1,0,smc,8,0 1,2,-1676.7464011362047,0,6
model1,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1654.6401242744105,0,5
model1,1,smc,1,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-1654.9021045345714,0,5
model1,1,smc,2,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000,11,-1655.0507311004385,0,5
model1,1,smc,3,0000 000010 000100 1 1000 100010 10010 100100 1010 10100,10,-1655.2445401682426,0,5
model1,1,smc,4,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1655.5268640020076,0,5
model1,1,smc,5,000 000100 1 10 100100 10100,6,-1657.393768748066,1,5
model1,1,smc,6,000 00100 1 10 10100,5,-1658.1048367623653,0,5
model1,1,smc,7,000 1 10 100,4,-1659.3615609944495,0,5
model1,1,smc,8,00 1 10,3,-1661.3536926047761,0,5
model1,1,smc,9,0 1,2,-1687.3136807727096,0,5
model1,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1676.070742871792,0,8
model1,2,smc,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1676.073740812073,0,8
model1,2,smc,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1677.669352730611,0,8
model1,2,smc,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1679.2548858044815,0,8
model1,2,smc,4,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1679.3962164723703,0,8
model1,2,smc,5,00000 00010 001010 1 100 1000 10000 10010 101010,9,-1679.782607978067,0,8
model1,2,smc,6,00000 0010 001010 1 100 1000 10000 101010,8,-1680.2337048503025,0,8
model1,2,smc,7,0000 0010 001010 1 100 1000 101010,7,-1680.5280068542893,0,8
model1,2,smc,8,0000 1 10 100 1000,5,-1685.120068851069,1,8
model1,2,smc,9,000 1 10 100,4,-1686.6933142382395,0,8
model1,2,smc,10,00 1 10,3,-1688.6271686691707,0,8
model1,2,smc,11,0 1,2,-1697.4595743699003,0,8
model1,3,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1690.275341328708,0,5
model1,3,smc,1,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1690.8843697151283,0,5
model1,3,smc,2,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1691.4371221432757,0,5
model1,3,smc,3,0000 000010 001010 1 100 1000 100010 10010 101010,9,-1692.5607022261008,0,5
model1,3,smc,4,000 000010 001010 1 100 100010 10010 101010,8,-1693.1936649642125,0,5
model1,3,smc,5,000 1 10 100,4,-1697.242558272692,1,5
model1,3,smc,6,00 1 10,3,-1700.4187700928333,0,5
model1,3,smc,7,0 1,2,-1720.3081011782253,0,5
model1,4,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1663.4130832271258,0,2
model1,4,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1663.437503394128,0,2
model1,4,smc,2,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1663.7813121602646,1,2
model1,4,smc,3,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1664.0921061971183,0,2
model1,4,smc,4,00000 0010 001010 1 100 1000 10000 101010,8,-1666.1767835513683,0,2
model1,4,smc,5,00 0010 001010 1 101010,5,-1671.0177838365591,0,2
model1,4,smc,6,00 1 10,3,-1676.569613257031,0,2
model1,4,smc,7,0 1,2,-1687.3136807727096,0,2
model1,5,smc,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1699.1848920061714,0,5
model1,5,smc,1,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-1699.2273584188222,0,5
model1,5,smc,2,00000 000010 001000 1 100 10000 100010 10010 1010 101000,10,-1699.7162395914086,0,5
model1,5,smc,3,00000 001000 1 10 100 10000 101000,7,-1702.4860138772524,0,5
model1,5,smc,4,00000 1 10 100 1000 10000,6,-1703.5792644011397,0,5
model1,5,smc,5,000 1 10 100,4,-1706.2290159448426,1,5
