model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1, 0, seqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -6710.4346, 0
model1, 0, seqROCTM, 1, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 1010 1 , 13, -6710.4369, 0
model1, 0, seqROCTM, 2, 000000 100000 10000 001000 101000 000100 100100 10100 10 1 , 10, -6711.1678, 0
model1, 0, seqROCTM, 3, 000000 100000 10000 001000 101000 100 10 1 , 8, -6711.7781, 0
model1, 0, seqROCTM, 4, 000000 100000 10000 1000 100 10 1 , 7, -6712.1064, 0
model1, 0, seqROCTM, 5, 000 100 10 1 , 4, -6713.8727, 1
model1, 0, seqROCTM, 6, 00 10 1 , 3, -6725.2392, 0
model1, 0, seqROCTM, 7, 0 1 , 2, -6787.1139, 0
model1, 0, seqROCTM, 8, , 0, -13612.2544, 0
model1, 1, seqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -6846.2011, 0
model1, 1, seqROCTM, 1, 000000 100000 10000 001000 101000 00100 10100 000010 100010 10010 001010 101010 1 , 13, -6846.255, 0
model1, 1, seqROCTM, 2, 00000 10000 001000 101000 00100 10100 000010 100010 10010 001010 101010 1 , 12, -6846.3268, 0
model1, 1, seqROCTM, 3, 00000 10000 1000 00100 10100 000010 100010 10010 001010 101010 1 , 11, -6846.4091, 0
model1, 1, seqROCTM, 4, 00000 10000 1000 00100 10100 0010 001010 101010 1 , 9, -6847.5862, 0
model1, 1, seqROCTM, 5, 000 00100 10100 0010 001010 101010 1 , 7, -6848.7608, 0
model1, 1, seqROCTM, 6, 00 0010 001010 101010 1 , 5, -6852.2765, 0
model1, 1, seqROCTM, 7, 00 10 1 , 3, -6854.7125, 1
model1, 1, seqROCTM, 8, 0 1 , 2, -6899.4444, 0
model1, 1, seqROCTM, 9, , 0, -13596.0644, 0
model1, 2, seqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -6800.9637, 0
model1, 2, seqROCTM, 1, 000000 100000 10000 001000 101000 000100 100100 10100 00010 10010 001010 101010 1 , 13, -6800.9732, 0
model1, 2, seqROCTM, 2, 00000 10000 001000 101000 000100 100100 10100 00010 10010 001010 101010 1 , 12, -6801.0475, 0
model1, 2, seqROCTM, 3, 00000 10000 001000 101000 00100 10100 00010 10010 001010 101010 1 , 11, -6801.1285, 0
model1, 2, seqROCTM, 4, 00000 10000 001000 101000 100 00010 10010 001010 101010 1 , 10, -6801.2436, 0
model1, 2, seqROCTM, 5, 00000 10000 001000 101000 100 0010 001010 101010 1 , 9, -6801.4009, 0
model1, 2, seqROCTM, 6, 00000 10000 001000 101000 100 10 1 , 7, -6802.5676, 0
model1, 2, seqROCTM, 7, 000 100 10 1 , 4, -6806.6906, 1
model1, 2, seqROCTM, 8, 00 10 1 , 3, -6815.5268, 0
model1, 2, seqROCTM, 9, 0 1 , 2, -6866.0804, 0
model1, 2, seqROCTM, 10, , 0, -13600.9753, 0
model1, 3, seqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -6841.4615, 0
model1, 3, seqROCTM, 1, 00000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 13, -6841.4626, 0
model1, 3, seqROCTM, 2, 00000 10000 001000 101000 000100 100100 10100 0010 001010 101010 1 , 11, -6841.4924, 0
model1, 3, seqROCTM, 3, 00000 10000 1000 000100 100100 10100 0010 001010 101010 1 , 10, -6841.7936, 0
model1, 3, seqROCTM, 4, 0000 1000 000100 100100 10100 0010 001010 101010 1 , 9, -6841.8285, 0
model1, 3, seqROCTM, 5, 0000 1000 100 0010 001010 101010 1 , 7, -6843.7457, 0
model1, 3, seqROCTM, 6, 0000 1000 100 10 1 , 5, -6845.6123, 1
model1, 3, seqROCTM, 7, 000 100 10 1 , 4, -6848.0061, 0
model1, 3, seqROCTM, 8, 00 10 1 , 3, -6853.0379, 0
model1, 3, seqROCTM, 9, 0 1 , 2, -6895.9565, 0
model1, 3, seqROCTM, 10, , 0, -13596.7219, 0
model1, 4, seqROCTM, 0, 000000 100000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 14, -6756.1462, 0
model1, 4, seqROCTM, 1, 00000 10000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 13, -6756.1474, 0
model1, 4, seqROCTM, 2, 0000 001000 101000 000100 100100 10100 000010 100010 10010 001010 101010 1 , 12, -6756.1763, 0
model1, 4, seqROCTM, 3, 0000 001000 101000 100 000010 100010 10010 001010 101010 1 , 10, -6756.4793, 0
model1, 4, seqROCTM, 4, 0000 001000 101000 100 00010 10010 001010 101010 1 , 9, -6757.8515, 0
model1, 4, seqROCTM, 5, 000 100 00010 10010 001010 101010 1 , 7, -6758.5956, 0
