sample_idx,tree_idx,tree
0,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
0,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
0,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
0,3,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010
0,4,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010
0,5,0000 00010 000100 001000 1 10010 100100 1010 10100 101000
0,6,0000 000100 001000 1 10 100100 10100 101000
0,7,0000 001000 1 10 100 101000
0,8,000 1 10 100
0,9,00 1 10
0,10,0 1
1,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
1,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
1,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
1,3,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010
1,4,00000 000010 001010 1 100 1000 10000 100010 10010 101010
1,5,00000 000010 1 100 1000 10000 100010 10010 1010
1,6,00000 1 10 100 1000 10000
1,7,000 1 10 100
1,8,00 1 10
1,9,0 1
2,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
2,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
2,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
2,3,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010
2,4,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010
2,5,000 000100 0010 001010 1 100100 10100 101010
2,6,000 0010 001010 1 100 101010
2,7,000 1 10 100
2,8,00 1 10
2,9,0 1
3,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
3,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
3,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
3,3,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000
3,4,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000
3,5,0000 000010 001000 1 100 100010 10010 1010 101000
3,6,0000 00010 001000 1 100 10010 1010 101000
3,7,0000 001000 1 10 100 101000
3,8,000 1 10 100
3,9,00 1 10
3,10,0 1
4,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
4,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
4,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
