model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-9888.03813606728,0,17
model2,0,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-9888.03813606728,0,17
model2,0,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-9888.038136067282,0,17
model2,0,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-9888.03813606728,0,17
model2,0,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-9888.038136067282,0,17
model2,0,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-9888.038136067282,0,17
model2,0,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-9888.038136067282,0,17
model2,0,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3051.3706201395435,0,17
model2,0,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3051.4166383367674,0,17
model2,0,prune,9,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,-3051.469915715153,0,17
model2,0,prune,10,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-3051.603608835677,0,17
model2,0,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-3052.1695810046326,0,17
model2,0,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,-3052.800201379204,0,17
model2,0,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-3052.812526163574,0,17
model2,0,prune,14,000000 1 10 100 1000 10000 100000,7,-3052.8619296423917,0,17
model2,0,prune,15,00000 1 10 100 1000 10000,6,-3053.6468198021994,0,17
model2,0,prune,16,0000 1 10 100 1000,5,-3054.296393717327,0,17
model2,0,prune,17,000 1 10 100,4,-3054.377356876211,1,17
model2,0,prune,18,00 1 10,3,-3060.0341887262553,0,17
model2,0,prune,19,0 1,2,-3104.850764110936,0,17
model2,1,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-9787.554432596911,0,17
model2,1,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-9787.554432596911,0,17
model2,1,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-9787.55443259691,0,17
model2,1,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-9787.554432596911,0,17
model2,1,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-9787.554432596911,0,17
model2,1,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-9787.55443259691,0,17
model2,1,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-9787.55443259691,0,17
model2,1,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-2941.409256463061,0,17
model2,1,prune,8,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-2941.417735520582,0,17
model2,1,prune,9,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-2941.4290968759497,0,17
model2,1,prune,10,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-2941.4743342100633,0,17
model2,1,prune,11,00000 00010 00100 001010 1 1000 10000 10010 10100 101010,10,-2941.536438473306,0,17
model2,1,prune,12,00000 0010 00100 001010 1 1000 10000 10100 101010,9,-2941.6345038805093,0,17
model2,1,prune,13,00000 0010 00100 1 1000 10000 1010 10100,8,-2941.7904537932577,0,17
model2,1,prune,14,00000 0010 1 100 1000 10000 1010,7,-2942.113385179753,0,17
model2,1,prune,15,0000 0010 1 100 1000 1010,6,-2942.6474681175782,0,17
model2,1,prune,16,000 0010 1 100 1010,5,-2943.1517729050956,0,17
model2,1,prune,17,000 1 10 100,4,-2944.432672149267,1,17
model2,1,prune,18,00 1 10,3,-2947.2463818813617,0,17
model2,1,prune,19,0 1,2,-3008.9594585907334,0,17
model2,2,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-9852.298221091372,0,18
