model_name,sample_size,ct,sample_idx,opt
model1,5000,1,0,1
model1,5000,1,1,0
model1,5000,1,2,0
model1,5000,1,3,1
model1,5000,1,4,0
model1,5000,1,5,0
model1,5000,1,6,0
model1,5000,1,7,0
model1,5000,1,8,0
model1,5000,1,9,0
model1,5000,1,10,0
model1,5000,1,11,0
model1,5000,1,12,0
model1,5000,1,13,1
model1,5000,1,14,0
model1,5000,1,15,0
model1,5000,1,16,0
model1,5000,1,17,0
model1,5000,1,18,0
model1,5000,1,19,0
model1,5000,1,20,0
model1,5000,1,21,0
model1,5000,1,22,0
model1,5000,1,23,1
model1,5000,1,24,0
model1,5000,1,25,0
model1,5000,1,26,1
model1,5000,1,27,0
model1,5000,1,28,0
model1,5000,1,29,0
model1,5000,1,30,0
model1,5000,1,31,1
model1,5000,1,32,1
model1,5000,1,33,1
model1,5000,1,34,0
model1,5000,1,35,0
model1,5000,1,36,0
model1,5000,1,37,0
model1,5000,1,38,1
model1,5000,1,39,1
model1,5000,1,40,1
model1,5000,1,41,1
model1,5000,1,42,0
model1,5000,1,43,1
model1,5000,1,44,0
model1,5000,1,45,0
model1,5000,1,46,0
model1,5000,1,47,0
model1,5000,1,48,1
model1,5000,1,49,1
model1,5000,1,50,0
model1,5000,1,51,0
model1,5000,1,52,0
model1,5000,1,53,0
model1,5000,1,54,0
model1,5000,1,55,1
model1,5000,1,56,0
model1,5000,1,57,0
model1,5000,1,58,0
model1,5000,1,59,0
model1,5000,1,60,0
model1,5000,1,61,0
model1,5000,1,62,0
model1,5000,1,63,0
model1,5000,1,64,0
model1,5000,1,65,0
model1,5000,1,66,0
model1,5000,1,67,0
model1,5000,1,68,1
model1,5000,1,69,0
model1,5000,1,70,0
model1,5000,1,71,0
model1,5000,1,72,0
model1,5000,1,73,1
model1,5000,1,74,1
model1,5000,1,75,1
model1,5000,1,76,1
model1,5000,1,77,0
model1,5000,1,78,1
model1,5000,1,79,0
model1,5000,1,80,0
model1,5000,1,81,1
model1,5000,1,82,0
model1,5000,1,83,0
model1,5000,1,84,0
model1,5000,1,85,0
model1,5000,1,86,0
model1,5000,1,87,0
model1,5000,1,88,1
model1,5000,1,89,0
model1,5000,1,90,0
model1,5000,1,91,0
model1,5000,1,92,0
model1,5000,1,93,1
model1,5000,1,94,0
model1,5000,1,95,1
model1,5000,1,96,0
model1,5000,1,97,0
model1,5000,1,98,0
model1,5000,1,99,1
model1,10000,1,0,0
model1,10000,1,1,0
model1,10000,1,2,1
model1,10000,1,3,0
model1,10000,1,4,0
model1,10000,1,5,0
model1,10000,1,6,1
model1,10000,1,7,1
model1,10000,1,8,1
model1,10000,1,9,1
model1,10000,1,10,1
model1,10000,1,11,0
model1,10000,1,12,1
model1,10000,1,13,1
model1,10000,1,14,0
model1,10000,1,15,0
model1,10000,1,16,1
model1,10000,1,17,1
model1,10000,1,18,0
model1,10000,1,19,0
model1,10000,1,20,0
model1,10000,1,21,0
model1,10000,1,22,1
model1,10000,1,23,0
model1,10000,1,24,0
model1,10000,1,25,0
model1,10000,1,26,0
model1,10000,1,27,0
model1,10000,1,28,1
model1,10000,1,29,1
model1,10000,1,30,0
model1,10000,1,31,1
model1,10000,1,32,1
model1,10000,1,33,1
model1,10000,1,34,0
model1,10000,1,35,0
model1,10000,1,36,0
model1,10000,1,37,0
model1,10000,1,38,1
model1,10000,1,39,1
model1,10000,1,40,0
model1,10000,1,41,0
model1,10000,1,42,1
model1,10000,1,43,0
model1,10000,1,44,1
model1,10000,1,45,1
model1,10000,1,46,0
model1,10000,1,47,0
model1,10000,1,48,0
model1,10000,1,49,0
model1,10000,1,50,0
model1,10000,1,51,1
model1,10000,1,52,1
model1,10000,1,53,0
model1,10000,1,54,0
model1,10000,1,55,0
model1,10000,1,56,1
model1,10000,1,57,0
model1,10000,1,58,0
model1,10000,1,59,0
model1,10000,1,60,0
model1,10000,1,61,1
model1,10000,1,62,1
model1,10000,1,63,0
model1,10000,1,64,0
model1,10000,1,65,0
model1,10000,1,66,1
model1,10000,1,67,0
model1,10000,1,68,1
model1,10000,1,69,1
model1,10000,1,70,1
model1,10000,1,71,0
model1,10000,1,72,0
model1,10000,1,73,1
model1,10000,1,74,0
model1,10000,1,75,1
model1,10000,1,76,1
model1,10000,1,77,0
model1,10000,1,78,0
model1,10000,1,79,1
model1,10000,1,80,0
model1,10000,1,81,1
model1,10000,1,82,1
model1,10000,1,83,1
model1,10000,1,84,1
model1,10000,1,85,0
model1,10000,1,86,0
model1,10000,1,87,0
model1,10000,1,88,1
model1,10000,1,89,0
model1,10000,1,90,1
model1,10000,1,91,1
model1,10000,1,92,0
model1,10000,1,93,0
model1,10000,1,94,1
model1,10000,1,95,1
model1,10000,1,96,0
model1,10000,1,97,0
model1,10000,1,98,1
model1,10000,1,99,1
model1,20000,1,0,1
model1,20000,1,1,0
model1,20000,1,2,1
model1,20000,1,3,0
model1,20000,1,4,1
model1,20000,1,5,1
model1,20000,1,6,1
model1,20000,1,7,1
model1,20000,1,8,1
model1,20000,1,9,1
model1,20000,1,10,1
model1,20000,1,11,1
model1,20000,1,12,1
model1,20000,1,13,1
model1,20000,1,14,0
model1,20000,1,15,1
model1,20000,1,16,1
model1,20000,1,17,0
model1,20000,1,18,1
model1,20000,1,19,1
model1,20000,1,20,1
model1,20000,1,21,1
model1,20000,1,22,0
model1,20000,1,23,0
model1,20000,1,24,1
model1,20000,1,25,1
model1,20000,1,26,1
model1,20000,1,27,1
model1,20000,1,28,1
model1,20000,1,29,1
model1,20000,1,30,1
model1,20000,1,31,1
model1,20000,1,32,0
model1,20000,1,33,1
model1,20000,1,34,1
model1,20000,1,35,1
model1,20000,1,36,1
model1,20000,1,37,1
model1,20000,1,38,0
model1,20000,1,39,1
model1,20000,1,40,1
model1,20000,1,41,1
model1,20000,1,42,1
model1,20000,1,43,0
model1,20000,1,44,1
model1,20000,1,45,1
model1,20000,1,46,1
model1,20000,1,47,0
model1,20000,1,48,1
model1,20000,1,49,0
model1,20000,1,50,1
model1,20000,1,51,1
model1,20000,1,52,0
model1,20000,1,53,1
model1,20000,1,54,1
model1,20000,1,55,0
model1,20000,1,56,0
model1,20000,1,57,1
model1,20000,1,58,1
model1,20000,1,59,1
model1,20000,1,60,1
model1,20000,1,61,1
model1,20000,1,62,1
model1,20000,1,63,1
model1,20000,1,64,1
model1,20000,1,65,1
model1,20000,1,66,0
model1,20000,1,67,1
model1,20000,1,68,0
model1,20000,1,69,0
model1,20000,1,70,1
model1,20000,1,71,1
model1,20000,1,72,1
model1,20000,1,73,1
model1,20000,1,74,1
model1,20000,1,75,1
model1,20000,1,76,1
model1,20000,1,77,1
model1,20000,1,78,1
model1,20000,1,79,1
model1,20000,1,80,1
model1,20000,1,81,1
model1,20000,1,82,1
model1,20000,1,83,1
model1,20000,1,84,1
model1,20000,1,85,0
model1,20000,1,86,1
model1,20000,1,87,0
model1,20000,1,88,1
model1,20000,1,89,1
model1,20000,1,90,1
model1,20000,1,91,1
model1,20000,1,92,1
model1,20000,1,93,1
model1,20000,1,94,0
model1,20000,1,95,1
model1,20000,1,96,1
model1,20000,1,97,1
model1,20000,1,98,1
model1,20000,1,99,1
model2,5000,1,0,1
model2,5000,1,1,1
model2,5000,1,2,1
model2,5000,1,3,1
model2,5000,1,4,0
model2,5000,1,5,0
model2,5000,1,6,0
model2,5000,1,7,1
model2,5000,1,8,0
model2,5000,1,9,0
model2,5000,1,10,0
model2,5000,1,11,1
model2,5000,1,12,0
model2,5000,1,13,1
model2,5000,1,14,1
model2,5000,1,15,1
model2,5000,1,16,1
model2,5000,1,17,1
model2,5000,1,18,1
model2,5000,1,19,1
model2,5000,1,20,1
model2,5000,1,21,0
model2,5000,1,22,1
model2,5000,1,23,1
model2,5000,1,24,1
model2,5000,1,25,0
model2,5000,1,26,0
model2,5000,1,27,1
model2,5000,1,28,1
model2,5000,1,29,1
model2,5000,1,30,1
model2,5000,1,31,1
model2,5000,1,32,0
model2,5000,1,33,0
model2,5000,1,34,1
model2,5000,1,35,1
model2,5000,1,36,0
model2,5000,1,37,1
model2,5000,1,38,1
model2,5000,1,39,1
model2,5000,1,40,1
model2,5000,1,41,0
model2,5000,1,42,0
model2,5000,1,43,1
model2,5000,1,44,0
model2,5000,1,45,1
model2,5000,1,46,1
model2,5000,1,47,0
model2,5000,1,48,0
model2,5000,1,49,1
model2,5000,1,50,0
model2,5000,1,51,1
model2,5000,1,52,0
model2,5000,1,53,1
model2,5000,1,54,1
model2,5000,1,55,0
model2,5000,1,56,1
model2,5000,1,57,1
model2,5000,1,58,0
model2,5000,1,59,0
model2,5000,1,60,0
model2,5000,1,61,0
model2,5000,1,62,1
model2,5000,1,63,0
model2,5000,1,64,1
model2,5000,1,65,1
model2,5000,1,66,1
model2,5000,1,67,1
model2,5000,1,68,1
model2,5000,1,69,0
model2,5000,1,70,0
model2,5000,1,71,1
model2,5000,1,72,1
model2,5000,1,73,1
model2,5000,1,74,0
model2,5000,1,75,1
model2,5000,1,76,1
model2,5000,1,77,0
model2,5000,1,78,1
model2,5000,1,79,1
model2,5000,1,80,1
model2,5000,1,81,1
model2,5000,1,82,1
model2,5000,1,83,1
model2,5000,1,84,1
model2,5000,1,85,1
model2,5000,1,86,1
model2,5000,1,87,0
model2,5000,1,88,0
model2,5000,1,89,1
model2,5000,1,90,1
model2,5000,1,91,1
model2,5000,1,92,0
model2,5000,1,93,1
model2,5000,1,94,0
model2,5000,1,95,0
model2,5000,1,96,1
model2,5000,1,97,1
model2,5000,1,98,1
model2,5000,1,99,0
model2,10000,1,0,1
model2,10000,1,1,1
model2,10000,1,2,0
model2,10000,1,3,1
model2,10000,1,4,1
model2,10000,1,5,1
model2,10000,1,6,1
model2,10000,1,7,1
model2,10000,1,8,0
model2,10000,1,9,1
model2,10000,1,10,1
model2,10000,1,11,1
model2,10000,1,12,0
model2,10000,1,13,1
model2,10000,1,14,1
model2,10000,1,15,1
model2,10000,1,16,1
model2,10000,1,17,1
model2,10000,1,18,1
model2,10000,1,19,1
model2,10000,1,20,0
model2,10000,1,21,1
model2,10000,1,22,1
model2,10000,1,23,1
model2,10000,1,24,0
model2,10000,1,25,1
model2,10000,1,26,1
model2,10000,1,27,0
model2,10000,1,28,0
model2,10000,1,29,1
model2,10000,1,30,0
model2,10000,1,31,1
model2,10000,1,32,1
model2,10000,1,33,1
model2,10000,1,34,1
model2,10000,1,35,1
model2,10000,1,36,1
model2,10000,1,37,1
model2,10000,1,38,1
model2,10000,1,39,1
model2,10000,1,40,0
model2,10000,1,41,1
model2,10000,1,42,1
model2,10000,1,43,1
model2,10000,1,44,1
model2,10000,1,45,1
model2,10000,1,46,1
model2,10000,1,47,1
model2,10000,1,48,1
model2,10000,1,49,1
model2,10000,1,50,1
model2,10000,1,51,1
model2,10000,1,52,1
model2,10000,1,53,0
model2,10000,1,54,1
model2,10000,1,55,1
model2,10000,1,56,1
model2,10000,1,57,1
model2,10000,1,58,1
model2,10000,1,59,1
model2,10000,1,60,1
model2,10000,1,61,1
model2,10000,1,62,1
model2,10000,1,63,0
model2,10000,1,64,1
model2,10000,1,65,1
model2,10000,1,66,0
model2,10000,1,67,1
model2,10000,1,68,1
model2,10000,1,69,1
model2,10000,1,70,1
model2,10000,1,71,1
model2,10000,1,72,1
model2,10000,1,73,1
model2,10000,1,74,1
model2,10000,1,75,1
model2,10000,1,76,1
model2,10000,1,77,1
model2,10000,1,78,1
model2,10000,1,79,0
model2,10000,1,80,0
model2,10000,1,81,0
model2,10000,1,82,1
model2,10000,1,83,1
model2,10000,1,84,1
model2,10000,1,85,1
model2,10000,1,86,1
model2,10000,1,87,1
model2,10000,1,88,1
model2,10000,1,89,1
model2,10000,1,90,1
model2,10000,1,91,1
model2,10000,1,92,0
model2,10000,1,93,1
model2,10000,1,94,1
model2,10000,1,95,1
model2,10000,1,96,1
model2,10000,1,97,1
model2,10000,1,98,1
model2,10000,1,99,1
model2,20000,1,0,1
model2,20000,1,1,1
model2,20000,1,2,0
model2,20000,1,3,1
model2,20000,1,4,1
model2,20000,1,5,1
model2,20000,1,6,1
model2,20000,1,7,0
model2,20000,1,8,1
model2,20000,1,9,1
model2,20000,1,10,1
model2,20000,1,11,1
model2,20000,1,12,1
model2,20000,1,13,1
model2,20000,1,14,1
model2,20000,1,15,1
model2,20000,1,16,1
model2,20000,1,17,1
model2,20000,1,18,1
model2,20000,1,19,1
model2,20000,1,20,1
model2,20000,1,21,1
model2,20000,1,22,1
model2,20000,1,23,1
model2,20000,1,24,1
model2,20000,1,25,1
model2,20000,1,26,1
model2,20000,1,27,1
model2,20000,1,28,1
model2,20000,1,29,1
model2,20000,1,30,1
model2,20000,1,31,1
model2,20000,1,32,1
model2,20000,1,33,1
model2,20000,1,34,1
model2,20000,1,35,1
model2,20000,1,36,1
model2,20000,1,37,1
model2,20000,1,38,1
model2,20000,1,39,1
model2,20000,1,40,1
model2,20000,1,41,1
model2,20000,1,42,1
model2,20000,1,43,1
model2,20000,1,44,1
model2,20000,1,45,1
model2,20000,1,46,1
model2,20000,1,47,1
model2,20000,1,48,1
model2,20000,1,49,0
model2,20000,1,50,1
model2,20000,1,51,1
model2,20000,1,52,1
model2,20000,1,53,1
model2,20000,1,54,1
model2,20000,1,55,1
model2,20000,1,56,1
model2,20000,1,57,1
model2,20000,1,58,1
model2,20000,1,59,1
model2,20000,1,60,1
model2,20000,1,61,1
model2,20000,1,62,1
model2,20000,1,63,1
model2,20000,1,64,0
model2,20000,1,65,1
model2,20000,1,66,1
model2,20000,1,67,1
model2,20000,1,68,0
model2,20000,1,69,1
model2,20000,1,70,1
model2,20000,1,71,1
model2,20000,1,72,1
model2,20000,1,73,1
model2,20000,1,74,1
model2,20000,1,75,1
model2,20000,1,76,1
model2,20000,1,77,1
model2,20000,1,78,1
model2,20000,1,79,1
model2,20000,1,80,1
model2,20000,1,81,1
model2,20000,1,82,1
model2,20000,1,83,1
model2,20000,1,84,1
model2,20000,1,85,0
model2,20000,1,86,1
model2,20000,1,87,1
model2,20000,1,88,0
model2,20000,1,89,1
model2,20000,1,90,1
model2,20000,1,91,1
model2,20000,1,92,1
model2,20000,1,93,1
model2,20000,1,94,1
model2,20000,1,95,1
model2,20000,1,96,1
model2,20000,1,97,1
model2,20000,1,98,1
model2,20000,1,99,1
