model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1394.7754928904828,0,8
model2,0,smc,0.004999339580535889,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1394.7967795075792,0,8
model2,0,smc,0.006623549910544924,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-1394.8249856556154,0,8
model2,0,smc,0.011645174710025368,3,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010,11,-1394.8745602328372,0,8
model2,0,smc,0.12165043510298039,4,0000 00010 001000 001010 1 100 10010 101000 101010,9,-1395.9106673322358,0,8
model2,0,smc,0.12232082421075668,5,0000 00010 001000 1 100 10010 1010 101000,8,-1396.4315546050989,0,8
model2,0,smc,0.1409445810867376,6,0000 001000 1 10 100 101000,6,-1397.6320059629936,0,8
model2,0,smc,0.1677367649380666,7,000 1 10 100,4,-1399.0606453446026,0,8
model2,0,smc,0.3878908708522061,8,00 1 10,3,-1400.7125107965376,1,8
model2,0,smc,9.185102748189081,9,0 1,2,-1439.8281537320763,0,8
model2,0,smc,466.5423150563378,10,,1,-3426.643667557935,0,8
model2,1,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1499.6289508158188,0,7
model2,1,smc,0.006232410669326782,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1499.6554869630365,0,7
model2,1,smc,0.012371612556183464,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-1499.7081428679226,0,7
model2,1,smc,0.015099388881578465,3,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1499.8367472284049,0,7
model2,1,smc,0.028662761248640752,4,00000 0010 001010 1 100 1000 10000 101010,8,-1500.080867058755,0,7
model2,1,smc,0.032104732160326915,5,00000 0010 1 100 1000 10000 1010,7,-1500.2175847112321,0,7
model2,1,smc,0.03306020776736596,6,00000 1 10 100 1000 10000,6,-1500.358373497134,0,7
model2,1,smc,0.11098812784401565,7,000 1 10 100,4,-1501.3036279430416,1,7
model2,1,smc,0.6392101456445891,8,00 1 10,3,-1504.0257617115735,0,7
model2,1,smc,6.3267084611797095,9,0 1,2,-1530.9686585842164,0,7
