node,idx,p_chapeu,produtoria_filhos,chosen_v,active
000000,1,-12.18843,-12.18843,-12.18843,0
100000,2,-21.42156,-21.42156,-21.42156,0
00000,3,-32.95007,-33.60999,-32.95007,0
010000,4,-70.74708,-70.74708,-70.74708,0
10000,5,-70.74708,-70.74708,-70.74708,0
0000,6,-104.16838,-103.69715,-103.69715,1
001000,7,-89.58942,-89.58942,-89.58942,0
101000,8,-194.17446,-194.17446,-194.17446,0
01000,9,-283.04417,-283.76389,-283.04417,0
1000,10,-283.04417,-283.04417,-283.04417,0
000,11,-386.85897,-386.74133,-386.74133,1
000100,12,-79.60420,-79.60420,-79.60420,0
100100,13,-309.10222,-309.10222,-309.10222,0
00100,14,-388.28168,-388.70642,-388.28168,0
010100,15,-871.86605,-871.86605,-871.86605,0
10100,16,-871.86605,-871.86605,-871.86605,0
0100,17,-1259.98959,-1260.14773,-1259.98959,0
100,18,-1259.98959,-1259.98959,-1259.98959,0
00,19,-1650.79423,-1646.73092,-1646.73092,1
000010,20,-83.49017,-83.49017,-83.49017,0
100010,21,-232.50237,-232.50237,-232.50237,0
00010,22,-316.46197,-315.99254,-315.99254,1
010010,23,-1208.94188,-1208.94188,-1208.94188,0
10010,24,-1208.94188,-1208.94188,-1208.94188,0
0010,25,-1525.39859,-1524.93442,-1524.93442,1
001010,26,-1054.15299,-1054.15299,-1054.15299,0
101010,27,-2542.75702,-2542.75702,-2542.75702,0
01010,28,-3597.17216,-3596.91001,-3596.91001,1
1010,29,-3597.17216,-3596.91001,-3596.91001,1
010,30,-5121.84438,-5121.84443,-5121.84438,0
10,31,-5121.84438,-5121.84438,-5121.84438,0
0,32,-6815.10372,-6768.57530,-6768.57530,1
000001,33,-0.73117,-0.73117,-0.73117,0
100001,34,-0.73117,-0.73117,-0.73117,0
00001,35,-0.73117,-1.46235,-0.73117,0
010001,36,-0.73117,-0.73117,-0.73117,0
10001,37,-0.73117,-0.73117,-0.73117,0
0001,38,-0.73117,-1.46235,-0.73117,0
001001,39,-0.73117,-0.73117,-0.73117,0
101001,40,-0.73117,-0.73117,-0.73117,0
01001,41,-0.73117,-1.46235,-0.73117,0
1001,42,-0.73117,-0.73117,-0.73117,0
001,43,-0.73117,-1.46235,-0.73117,0
000101,44,-0.73117,-0.73117,-0.73117,0
100101,45,-0.73117,-0.73117,-0.73117,0
00101,46,-0.73117,-1.46235,-0.73117,0
010101,47,-0.73117,-0.73117,-0.73117,0
10101,48,-0.73117,-0.73117,-0.73117,0
0101,49,-0.73117,-1.46235,-0.73117,0
101,50,-0.73117,-0.73117,-0.73117,0
01,51,-0.73117,-1.46235,-0.73117,0
1,52,-0.73117,-0.73117,-0.73117,0
,53,-13604.04424,-6769.30647,-6769.30647,1























































